Type	String	Frequency	OMOP_ID	OMOP_Name
Drug	belgium	2	4330433	Belgium
Drug	belimumab	2	40236987	belimumab
Drug	berlin	2	41970933	Berlin
Drug	beta-2 adrenoceptor agonists	2	4162322	Beta-adrenoceptor agonist poisoning
Drug	betadine	2	35610849	Betadine
Drug	blood-related products	2	21601137	BLOOD AND RELATED PRODUCTS
Drug	brentuximab	2	40241969	brentuximab vedotin
Drug	broad-spectrum antibiotics	2	724311	BROAD SPECTRUM PENICILLINS
Drug	bromhexine hydrochloride	2	19030493	bromhexine
Drug	bromocriptine	2	730548	bromocriptine
Drug	cabergoline	2	1558471	cabergoline
Drug	calcifediol	2	19035569	calcifediol
Drug	cancer therapies	2	45772615	Electro cancer therapy system
Drug	cannabinoids	2	35807359	Cannabinoid
Drug	carvedilol	2	1346823	carvedilol
Drug	certolizumab	2	912263	certolizumab pegol
Drug	chemotherapeutic agents	2	4227356	Antineoplastic agent prophylaxis
Drug	chewing tobacco	2	4218741	Chews tobacco
Drug	chills	2	43449	Chill
Drug	chronic chloroquine / hcq treatment	2	4016919	Chronic disease - treatment stopped
Drug	chronic prescription medication	2	765721	Prescription medication discontinued
Drug	ciclesonide	2	902938	ciclesonide
Drug	combination oral contraceptives	2	4241216	Oral contraception
Drug	combination therapy	2	4039581	Combination therapy
Drug	conventional treatment methods	2	3710982	Lymphatic treatment method
Drug	coumarins	2	19008106	coumarin
Drug	critical cyp3a4 substrate drugs	2	4306811	Cytochrome p450 CYP3A4 enzyme
Drug	cyp 3a4 or p-gp inhibitor drugs	2	44791079	Referral to general practitioner for angiotensin converting enzyme inhibitor therapy
Drug	cyp2c19 substrates	2	4311137	Cytochrome p450 CYP2C19 enzyme
Drug	cytochrome p-450 cyp2c8	2	4306333	Cytochrome p450 CYP2C8 enzyme
Drug	cytochrome p-450 cyp3a4 inhibitors	2	4037956	Liver/kidney microsomal antibody
Drug	cytochrome p450 ( cyp ) 3a4	2	42539534	Cytochrome P450 inhibitor
Drug	cytochrome p450 enzyme-inducing anticonvulsant drugs	2	4175001	Cytochrome p450 enzyme
Drug	cytokine	2	4328107	Cytokine
Drug	cytokine storm	2	4328107	Cytokine
Drug	cytotoxic	2	42536188	Cytotoxic
Drug	daily oral contraceptives	2	4241216	Oral contraception
Drug	daratumumab	2	35605744	daratumumab
Drug	deferoxamine	2	1711947	deferoxamine
Drug	depo-formulation of hormonal contraception	2	1500211	medroxyprogesterone
Drug	desipramine	2	716968	desipramine
Drug	despite oxygen therapy	2	423913	Oxygen therapy
Drug	dexmedetomidine	2	19061088	dexmedetomidine
Drug	diclofenac	2	11243	diclofenac
Drug	dipeptidyl peptidase-4 inhibitors	2	21600783	Dipeptidyl peptidase 4 (DPP-4) inhibitors
Drug	dipyridamole	2	133127	dipyridamole
Drug	direct thrombin inhibitors	2	42536226	Direct thrombin inhibitor
Drug	dmards ) / immunosuppressive agents	2	3186744	Ongoing treatment with immunosuppressive agents
Drug	doctors	2	45878116	Doctor
Drug	dolutegravir	2	43560385	dolutegravir
Drug	done	2	4295937	Done
Drug	doxepin	2	738156	doxepin
Drug	ecstasy - drug	2	4103415	Ecstasy type drug dependence
Drug	elotuzumab	2	35604032	elotuzumab
Drug	email	2	44817219	Reporter email
Drug	enbrel	2	35614525	Enbrel
Drug	eplerenone	2	1309799	eplerenone
Drug	equivalent vitamin k antagonists	2	35807463	Vitamin K antagonist
Drug	erlotinib	2	1325363	erlotinib
Drug	estrogens	2	19049228	estrogens
Drug	experimental agent treatment	2	45767456	Pinworm treatment agent
Drug	experimental therapy	2	45878375	Other experimental cancer-directed therapy (not included elsewhere)
Drug	experimental treatment drugs	2	38003144	Pharmacy - Experimental Drugs
Drug	fenofibrate	2	1551803	fenofibrate
Drug	fibrinolytics	2	723587	FIBRINOLYTICS
Drug	front-line	2	426049	Line-fronted canastero
Drug	gamma globulin therapy	2	402325	Gamma globulin
Drug	ganciclovir	2	1757803	ganciclovir
Drug	gastrointestinal prophylaxis for nsaid use prescribed (oa)	2	2108538	Gastrointestinal prophylaxis for NSAID use prescribed (OA)
Drug	gelatin	2	19058092	gelatin
Drug	gemtuzumab	2	42799711	gemtuzumab ozogamicin
Drug	glimepiride	2	1597756	glimepiride
Drug	gm-csf agents	2	40100282	sargramostim Injectable Solution
Drug	gonadotropin	2	42536139	Gonadotropin
Drug	hawaii	2	42046226	Hawaii
Drug	"heparin, low-molecular-weight"	2	35805046	Low molecular weight heparins
Drug	high-dose gamma globulin therapy	2	3731263	Excessive dose of gamma globulin administered
Drug	histone deacetylase inhibitors	2	42536017	Histone deacetylase inhibitor
Drug	home oxygen therapy	2	4140455	Home oxygen therapy
Drug	home/therapy oxygen	2	4140455	Home oxygen therapy
Drug	hormone	2	4253604	Hormone
Drug	hormone-based contraceptive	2	4027509	Contraception
Drug	human metapneumovirus	2	4211957	Human metapneumovirus
Drug	hydrochloroquine	2	4310845	Hydrochloroquine retinopathy
Drug	hydrocodone/acetaminophen	2	1125315	acetaminophen
Drug	hydrocortisone	2	975125	hydrocortisone
Drug	hydroxyurea	2	1377141	hydroxyurea
Drug	hyperimmune globulin	2	501343	hepatitis B immune globulin
Drug	ibrutinib	2	44507848	ibrutinib
Drug	ibutilide	2	19050087	ibutilide
Drug	il-1 ) inhibitors	2	46237097	IL
Drug	il-1 inhibitors	2	46237097	IL
Drug	il-17a inhibitors	2	4152978	Serum progesterone measurement
Drug	illicit drug	2	45769428	Illicit drug overdose
Drug	iloprost	2	1344992	iloprost
Drug	immunobiological products	2	35604506	sugammadex
Drug	"immunoglobulins, intravenous"	2	19117912	immunoglobulin G
Drug	immunomodulating agents	2	724009	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
Drug	immunomodulating biologics	2	4253598	Immunomodulator
Drug	immunomodulating monoclonal antibody	2	722871	Monoclonal antibodies
Drug	immunomodulator treatment	2	4253598	Immunomodulator
Drug	immunoprecipitation	2	4300303	Immunoprecipitate
Drug	immunosuppressive agent	2	3186744	Ongoing treatment with immunosuppressive agents
Drug	immunosuppressive anti-rejection therapy	2	4314777	Immunosuppressive therapy
Drug	immunosuppressive antibody therapy	2	2000019	Infusion of immunosuppressive antibody therapy
Drug	immunosuppressive therapies	2	4314777	Immunosuppressive therapy
Drug	inactive ingredients	2	3039315	FDA product label Inactive ingredient section
Drug	inoculate live attenuated vaccine	2	42800027	varicella-zoster virus vaccine live (Oka-Merck) strain
Drug	inoculate subunit vaccine	2	2008354	Other vaccination and inoculation
Drug	inotuzumab	2	794068	inotuzumab ozogamicin
Drug	interleukin-6 inhibitors	2	724048	INTERLEUKIN INHIBITORS
Drug	intra-uterine	2	4003649	Congenital amputation of upper limb
Drug	intranasal steroid	2	36311072	Intranasal
Drug	intranasal steroids	2	36311072	Intranasal
Drug	intrauterine	2	42539751	Intrauterine
Drug	intravenous corticosteroids	2	21601607	Corticosteroids
Drug	intravenous immunoglobin	2	19117912	immunoglobulin G
Drug	intravenous vitamin	2	4225937	Intravenous nutrition
Drug	investigational compound	2	429709	Evaluation procedure
Drug	investigational coronavirus	2	429709	Evaluation procedure
Drug	investigational medicinal product ( imp	2	429709	Evaluation procedure
Drug	investigational or non-registered drug	2	35807195	Investigational drug
Drug	investigational or non-registered product	2	4227745	Infertility study
Drug	investigational sars-cov-2	2	703439	Taking of swab for SARS-CoV-2
Drug	investigational treatments	2	4148887	Patient on waiting list
Drug	ipratropium	2	1112921	ipratropium
Drug	irinotecan	2	1367268	irinotecan
Drug	ivabradine	2	46234437	ivabradine
Drug	ixekizumab	2	35603563	ixekizumab
Drug	lactase	2	950183	lactase
Drug	lamivudine	2	1704183	lamivudine
Drug	laxatives	2	35807354	Laxative
Drug	ledipasvir	2	4577502	ledipasvir
Drug	lithium carbonate	2	751246	lithium carbonate
Drug	live attenuated vaccine	2	42800027	varicella-zoster virus vaccine live (Oka-Merck) strain
Drug	lomitapide	2	43013119	lomitapide
Drug	long-term oral anti-rejection drugs	2	4141759	Long-term drug therapy
Drug	long-term treatment	2	4479246	On full dose long term treatment for depression - enhanced services administration
Drug	lpv/r or hydroxychloroquine	2	43273522	Penicillin V 250 MG [Lpv]
Drug	lurasidone	2	40230761	lurasidone
Drug	macrolide	2	4323636	Macrolide
Drug	macrolide antibiotic	2	4240901	Allergy to macrolide antibiotic
Drug	macrolide antibiotics	2	4240901	Allergy to macrolide antibiotic
Drug	macrolids	2	4323636	Macrolide
Drug	medical	2	4250324	Medical
Drug	medical therapy	2	4073634	Medical therapy
Drug	methamphetamines	2	704053	methamphetamine
Drug	mexiletine	2	1307542	mexiletine
Drug	midwives	2	42628303	Nurse midwife
Drug	moderate	2	4285732	Moderate
Drug	molecular weight heparin	2	35805046	Low molecular weight heparins
Drug	monoclonal antibodies against	2	722871	Monoclonal antibodies
Drug	monoclonal antibodies targeting cytokines	2	40485444	Cytokine antibody
Drug	monotherapy	2	3580369	Cyclophosphamide monotherapy
Drug	montpellier	2	41952113	Montpellier
Drug	muscle aches	2	442752	Muscle pain
Drug	myalgias	2	442752	Muscle pain
Drug	myelosuppressive chemotherapy	2	4156433	Myelosuppression
Drug	naloxone	2	111422	naloxone
Drug	narcotic drugs	2	4323272	Narcotic drug user
Drug	narcotics	2	724082	NARCOTICS
Drug	nefazodone	2	714684	nefazodone
Drug	neuroleptics	2	4256634	Antipsychotic drug therapy
Drug	neuromuscular blocking agents	2	44092	Poisoning by skeletal muscle relaxant
Drug	nexplanon	2	40240083	etonogestrel 68 MG Drug Implant [Nexplanon]
Drug	niacin	2	19071966	adenine
Drug	nicardipine	2	1318137	nicardipine
Drug	niclosamide	2	19018416	niclosamide
Drug	nil	2	4125556	Nil
Drug	non-covid-19 agent	2	37311061	Disease caused by 2019-nCoV
Drug	non-medicinal ingredients	2	4079631	Non-urgent renal medicine admission
Drug	non-steroidal anti-inflammatories	2	4080299	Non-steroidal anti-inflammatory poisoning
Drug	non-steroidal anti-inflammatory drugs	2	4215532	Non-steroidal anti-inflammatory drugs contraindicated
Drug	non-steroids anti-inflammatory agents	2	37017208	Non-steroidal anti-inflammatory agent therapy
Drug	non-study vaccine	2	4061026	Dynamic non-imaging isotope study
Drug	nurses	2	36717536	Nursing
Drug	obinutuzumab	2	44507676	obinutuzumab
Drug	ocrelizumab	2	1593457	ocrelizumab
Drug	ofatumumab	2	40167582	ofatumumab
Drug	olanzapine	2	785788	olanzapine
Drug	oncolytic drug therapy	2	35807444	Oncolytic viral therapy
Drug	open-label	2	42070132	LaBelle
Drug	oral prednisolone treatment	2	43805225	prednisolone Oral Paste
Drug	osteopathic medicine	2	37310583	Osteopathic medicine
Drug	other antiarrhythmic medications	2	21600276	"Other antiarrhythmics, class I and III"
Drug	other anticancer therapy	2	4077953	Therapy
Drug	other blood products	2	21601148	Other blood products
Drug	other circumstances	2	4107655	Finding relating to psychosocial functioning
Drug	other experimental treatment	2	35941093	Other Experimental
Drug	other immunomodulators	2	4253598	Immunomodulator
Drug	other immunomodulatory drugs	2	35807403	Immunomodulatory drugs (IMiDs)
Drug	other recreational drug	2	4314941	Recreational drug user
Drug	other similar	2	724263	Other similar ocular products
Drug	other substances	2	2008243	Transfusion of other substance
Drug	other vaccines	2	21601385	OTHER VACCINES
Drug	over-the-counter ( otc	2	37312448	Patient treated with medication
Drug	palliative treatment	2	4179711	Palliative intent
Drug	parenteral glucocorticoids	2	40796107	Glucocorticoids
Drug	parenteral steroids	2	45878727	Parenteral steroid treatment
Drug	peginterferon lambda-1a	2	45775146	peginterferon beta-1a
Drug	pembrolizumab	2	45775965	pembrolizumab
Drug	pentamidine	2	173037	pentamidine
Drug	phoenix	2	42075607	Phoenix
Drug	physical medicine	2	36676631	Physical medicine service
Drug	pipéraquine	2	45762089	Ear pip
Drug	pneumomediastinum	2	4057432	Mediastinal emphysema
Drug	polatuzumab	2	1396729	polatuzumab vedotin
Drug	polyclonal ivig therapy	2	2000019	Infusion of immunosuppressive antibody therapy
Drug	posaconazole	2	1704139	posaconazole
Drug	povidone-iodine	2	1750087	povidone-iodine
Drug	prescription drug	2	4080983	Drug prescription
Drug	prescription drugs	2	4080983	Drug prescription
Drug	primaquine	2	175131	primaquine
Drug	proton pump inhibitors	2	35806052	Proton pump inhibitors
Drug	"provide education about various treatment modalities (e.g., intrauterine insemination, in vitro fertilization-embryo transfer (ivf-et), gamete intrafallopian transfer (gift), zygote intrafallopian transfer (zift), donor sperm, donor oocytes, gestational carrier, and surrogacy)"	2	4145664	IVF - In vitro fertilization using donor sperm
Drug	psychiatric medicine	2	4099455	Psychiatric
Drug	psychological	2	36716227	Psychology
Drug	psychologists	2	38003634	Psychologist
Drug	psychotherapeutic treatment	2	44792696	Psychotherapeutic play therapy
Drug	pulmozyme	2	36241494	Pulmozyme Inhalant Product
Drug	quinolones	2	4270732	Quinolone erythema
Drug	radiation therapy	2	4029715	Radiation oncology AND/OR radiotherapy
Drug	randomization	2	4116363	Random
Drug	receive anticoagulant treatment	2	40767375	Did you receive treatment [PhenX]
Drug	related anticoagulants	2	358034	Anticoagulation
Drug	remicade	2	45877018	Remicade
Drug	rosuvastatin	2	1510813	rosuvastatin
Drug	sacubitril	2	46275719	sacubitril
Drug	saint-etienne	2	4239237	Hemoglobin St. Etienne
Drug	selective estrogen receptor modulators	2	3562203	Selective estrogen receptor modulator
Drug	self-quarantine	2	32759	Home isolation
Drug	short acting beta agonists	2	724193	"Short-acting B2-agonists, inhalant"
Drug	short-term oral steroids	2	36712814	Long term systemic steroid user
Drug	small intestine	2	4139463	Small intestinal
Drug	small molecule tyrosine kinase inhibitors	2	4253601	Protein-tyrosine kinase inhibitor
Drug	standard dose vitamins	2	4038001	Nominal standard dose
Drug	steroid therapy	2	4180039	Administration of steroid
Drug	strasbourg	2	41963258	Strasbourg
Drug	streptococcus pneumoniae	2	43012408	Streptococcus pneumoniae
Drug	streptomycin	2	1836191	streptomycin
Drug	stromectol ®	2	1784444	ivermectin
Drug	strong cyp3a inhibitors	2	4313609	Cytochrome p450 CYP3A enzyme
Drug	strong cyp3a4 inhibitor	2	4306811	Cytochrome p450 CYP3A4 enzyme
Drug	strong cyp3a4 inhibitors	2	4306811	Cytochrome p450 CYP3A4 enzyme
Drug	strong cytochrome p450 ( cyp ) 3a inhibitor	2	42539534	Cytochrome P450 inhibitor
Drug	strong inhibitors of cyp3a4	2	4306811	Cytochrome p450 CYP3A4 enzyme
Drug	study treatment	2	4268147	ETDRS visual acuity chart
Drug	substance	2	4022675	Substance
Drug	supplemental oxygen therapy	2	423913	Oxygen therapy
Drug	systemic anticoagulation	2	358034	Anticoagulation
Drug	systemic glucocorticoids	2	40796107	Glucocorticoids
Drug	systemic glucocorticosteroids	2	4034723	Cortisol sulfotransferase
Drug	systemic immunosuppressive agent	2	3186744	Ongoing treatment with immunosuppressive agents
Drug	systemic ozone	2	45761902	Dental ozone system
Drug	systemic rash	2	4319305	Rash of systemic lupus erythematosus
Drug	taken another investigational drug	2	35807195	Investigational drug
Drug	tamoxifen citrate	2	1436678	tamoxifen
Drug	telemedicine visit	2	38003414	Other Telemedicine
Drug	terfenadine	2	1150836	terfenadine
Drug	thalidomide	2	19137042	thalidomide
Drug	thiazide	2	4006168	Thiazide measurement
Drug	three antihypertensive agents	2	43021831	Antihypertensive agent surveillance
Drug	tnfα inhibitor	2	21603907	Tumor necrosis factor alpha (TNF-a) inhibitors
Drug	traditional chinese medicine	2	37109821	Traditional Chinese Medicine
Drug	transfer	2	4075214	Transference
Drug	transplants	2	4300185	Transplantation
Drug	tretinoin	2	903643	tretinoin
Drug	trial vaccine	2	4002165	Clinical trial
Drug	triazolam	2	704599	triazolam
Drug	tuberculin	2	19010871	tuberculin
Drug	typhoid vaccine	2	4048413	Typhoid vaccination
Drug	undergone renal replacement therapy ( rrt	2	36310977	Supportive care with no Renal Replacement Therapy (RRT)
Drug	unfractionated heparin	2	1367571	heparin
Drug	uricosuric drugs	2	36676771	Uricosuric therapeutic role
Drug	valproate	2	745466	valproate
Drug	vancomycin	2	1707687	vancomycin
Drug	vedolizumab	2	45774639	vedolizumab
Drug	virazole	2	19035444	ribavirin 20 MG/ML Inhalation Solution [Virazole]
Drug	virus vaccine	2	43012953	rubella virus
Drug	vpm1002 vaccine	2	4144375	Active immunization
Drug	wellbutrin	2	40222093	bupropion hydrochloride 75 MG Oral Tablet [Wellbutrin]
Drug	yeast-derived products	2	4135794	Sheep product derivatives
Measurement	a urine or blood pregnancy test	2	40664854	Pregnancy test (urine or serum) ordered
Measurement	abnormal clinical manifestations	2	4261867	Clinical manifestation of enzyme deficiency
Measurement	abnormal general serum	2	4041169	Serum androstenedione abnormal
Measurement	abnormal laboratory examination	2	403485	Laboratory test
Measurement	absolute granulocyte count	2	37393856	Granulocyte count
Measurement	absolute neutrophil counts	2	4148615	Neutrophil count
Measurement	absolute neutrophils count ( anc )	2	4148615	Neutrophil count
Measurement	absorption	2	45878816	Absorptive
Measurement	activated partial thromboplastin time ratio	2	4307179	Activated partial thromboplastin time ratio
Measurement	active listing	2	44809806	Active on kidney transplant waiting list
Measurement	alanine aminotransaminase	2	19052489	alanine
Measurement	alanine aminotransferase level	2	4190899	Plasma alanine aminotransferase level
Measurement	allc gene	2	4281995	Gene
Measurement	aminotransferase	2	4035061	Aminotransferase
Measurement	antibody testing	2	4196729	Hepatitis antibody test
Measurement	antigen detection test	2	4195124	Myeloid antigen detection
Measurement	arterial partial pressure	2	410346	"Oxygen measurement, partial pressure, arterial"
Measurement	arterial pressure	2	4298393	Systemic blood pressure
Measurement	aspartate transaminase )	2	4189605	Aspartate transaminase level
Measurement	autologous cd171-specific car-cd28 zeta-4-1-bb-egfrt-expressing t lymphocytes	2	4102607	Lymphocyte antigen CD28
Measurement	average diastolic blood pressure	2	4199651	Average diastolic blood pressure
Measurement	axillary body temperature	2	1003314	Body temperature | Axillary | Specific body temperature
Measurement	axillary site	2	4139173	Axillary
Measurement	baseline aptt	2	3042436	aPTT in Platelet poor plasma by Coagulation assay --baseline
Measurement	baseline qtc	2	8568	baseline
Measurement	baseline rockwood clinical frailty scale	2	40483383	Canadian Study of Health and Aging clinical frailty scale
Measurement	bcrss score	2	4077703	Score
Measurement	bilevel positive airway pressure ( bipap ) / continuous positive airway pressure ( cpap )	2	19025274	oxygen
Measurement	blood oxygen saturation ( spo2	2	4196147	Peripheral oxygen saturation
Measurement	bode index - mmrc dyspnea scale	2	36303553	Rose Dyspnea Scale
Measurement	body pain	2	4150754	Total body pain syndrome
Measurement	c reactive protein ( crp )	2	439937	C-reactive protein abnormal
Measurement	c-reactive protein [ crp	2	439937	C-reactive protein abnormal
Measurement	call score	2	41989996	Calle
Measurement	chest radiology	2	724939	"Radiologic examination, chest"
Measurement	child b or c )	2	46271813	Child-Pugh score class C
Measurement	child-pugh class c )	2	46271813	Child-Pugh score class C
Measurement	childs-pugh score	2	37016292	Child-Pugh score
Measurement	chronic hepatitis c ( hcv	2	4268323	Hepatitis C virus
Measurement	chronic multifocal osteomyelitis	2	4344376	Chronic multifocal osteomyelitis
Measurement	circulating antibodies	2	4039519	Circulating anti-platelet antibody assay
Measurement	clinical laboratory results	2	4172077	Unexplained laboratory result
Measurement	clinical laboratory test	2	42739976	Repeat Clinical Diagnostic Laboratory Test
Measurement	clinical screening laboratory evaluations	2	4167743	Clinical evaluation of language function revised - screening test
Measurement	clinical suspicion score	2	40479411	Suspected clinical finding
Measurement	comprehensive metabolic panel	2	30252	Comprehensive metabolic 1998 panel - Serum or Plasma
Measurement	confirmatory follicle stimulating hormone levels	2	37394135	FSH (follicle stimulating hormone) level
Measurement	continuous positive airway pressure ( cpap )	2	19025274	oxygen
Measurement	cord factors	2	432588	Megaloblastic anemia due to vitamin B>12< deficiency
Measurement	corrected qt ( qtc	2	4216826	QT interval feature
Measurement	covid - 19	2	37311061	Disease caused by 2019-nCoV
Measurement	covid 19	2	37311061	Disease caused by 2019-nCoV
Measurement	covid 19 pcr	2	37311061	Disease caused by 2019-nCoV
Measurement	covid testing	2	37311061	Disease caused by 2019-nCoV
Measurement	covid-19 test positive	2	37311061	Disease caused by 2019-nCoV
Measurement	covid-positive index cases ( cov )	2	757681	COVID-19 case report
Measurement	covid19 test	2	72348	SARS-CoV-2 (COVID19) Ab [Interpretation] in Serum or Plasma
Measurement	cystatin c	2	2212302	Cystatin C
Measurement	daunorubicin	2	1311799	daunorubicin
Measurement	dfg peptide	2	4203757	Peptide
Measurement	ecog performance status - grade 3	2	4174241	ECOG performance status - grade 3
Measurement	electrocardiogram: p-r interval	2	4064624	PR interval feature
Measurement	elevated ast	2	41932474	Asté
Measurement	elevated plasma nt-probnp	2	4259931	Plasma creatine kinase level elevated
Measurement	expected icu stay	2	45878402	ICU stay > 5 days
Measurement	fetal heart rate	2	4091643	Fetal heart rate
Measurement	finger blood oxygen saturation	2	4310328	Blood oxygen saturation
Measurement	floqswab test	2	415756	Tests
Measurement	france	2	4320324	France
Measurement	glasgow coma scale score	2	4304798	Glasgow coma scale finding
Measurement	gpt levels three times	2	4041301	Three times daily
Measurement	granulocyte count	2	37393856	Granulocyte count
Measurement	gynecology	2	706335	Gynecology
Measurement	hcv viral load	2	4215562	Viral load
Measurement	hcw with baseline qtc interval	2	3029815	Collection interval from baseline of Unspecified specimen
Measurement	"hemodialysis units, renal, continuous replacement therapy"	2	37018292	Continuous renal replacement therapy
Measurement	"heparin, low-molecular-weight"	2	35805046	Low molecular weight heparins
Measurement	hepatitis a virus rna:prthr:pt:ser:ord:probe.amp.tar	2	4006833	Hepatitis A virus RNA
Measurement	hepatitis b virus dna:acnc:pt:ser:qn	2	4004887	Hepatitis B virus DNA
Measurement	high blood pressure	2	316866	Hypertensive disorder
Measurement	high neutrophil count	2	4148615	Neutrophil count
Measurement	histology	2	4098214	Histopathology test
Measurement	hiv 1+hepatitis c virus rna+hepatitis b virus dna:prthr:pt:ser/plas:ord:probe.amp.tar	2	3704007	HIV 1 RNA+Hepatitis C virus RNA+Hepatitis B virus DNA | Donor | Microbiology
Measurement	hospital admission	2	8715	Hospital admission
Measurement	hs-crp ) serum level	2	37398482	Serum CRP (C reactive protein) level
Measurement	human chorionic gonadotropin ) pregnancy test	2	15636	chorionic gonadotropin
Measurement	human serum albumin	2	1344143	"albumin human, USP"
Measurement	hôpital kremlin bicêtre ( aphp )	2	41947628	Le Kremlin-Bicêtre
Measurement	hôpital necker ( aphp )	2	41944581	Hôpital-Camfrout
Measurement	hôpital pitié-salpétriêre ( aphp	2	41968579	Quartier de la Salpêtrière
Measurement	icu stay > 5 days	2	45878402	ICU stay > 5 days
Measurement	imipenem	2	1778262	imipenem
Measurement	immune function	2	4008247	Passive immunity
Measurement	increased serum inflammatory marker ( crp	2	37398482	Serum CRP (C reactive protein) level
Measurement	intracranial pressure	2	4353953	Intracranial pressure
Measurement	know prolonged qtc	2	4026077	Knows rights
Measurement	known immunodeficiency	2	4279378	Known
Measurement	known pregnancy positive pregnancy test	2	409491	Pregnancy test positive
Measurement	laboratory	2	413511	Laboratory
Measurement	laboratory assessment	2	413511	Laboratory
Measurement	laboratory examination	2	403485	Laboratory test
Measurement	lifetime mini-international neuropsychiatric interview	2	4157256	Composite international diagnostic interview
Measurement	low molecular weight heparin	2	35805046	Low molecular weight heparins
Measurement	lymphoid systems	2	4048692	Lymphoid system subdivision
Measurement	maintenance dialysis	2	4230165	Dialysis access maintenance
Measurement	mean blood pressure	2	4239021	Mean blood pressure
Measurement	methemoglobin	2	410112	Methemoglobin
Measurement	methylamphotericin b	2	4227955	Lymphoma staging symptom status B
Measurement	mews score	2	4073321	Mews bungalow
Measurement	microbiological test	2	4057955	Microbiology procedure
Measurement	middle east respiratory syndrome [ mers ] - cov ) vaccine	2	45763594	Middle East respiratory syndrome
Measurement	mini-international neuropsychiatric interview	2	4157256	Composite international diagnostic interview
Measurement	mini-mental state examination	2	4169175	Mini-mental state examination
Measurement	modification of diet in renal disease formula	2	45765672	Modification of diet in renal disease formula
Measurement	modified rankin scale	2	4480912	Modified Rankin scale
Measurement	modified sequential organ failure assessment score	2	36684937	Sequential organ failure assessment score
Measurement	molecular biology	2	403225	Molecular biology method
Measurement	moxetumomab	2	35200995	moxetumomab pasudotox
Measurement	multiple organ failure	2	4212484	Multiple organ failure
Measurement	nasal swab test	2	42600142	Nasal swab
Measurement	nasopharyngeal swab for sars-cov-2	2	703439	Taking of swab for SARS-CoV-2
Measurement	negative baseline pregnancy test	2	4094448	Pregnancy test negative
Measurement	negative beta-human chorionic gonadotropin urine test	2	4022675	Substance
Measurement	negative covid-19 rt-pcr test	2	35936749	"Negative/normal, RT-PCR test"
Measurement	negative covid-19 test	2	37311061	Disease caused by 2019-nCoV
Measurement	negative highly sensitive urine pregnancy test	2	4055286	Urine pregnancy test negative
Measurement	negative nucleic acid test	2	4239666	Nucleic acid amplification
Measurement	negative pcr	2	4135664	Chlamydia PCR negative
Measurement	negative pcr test results	2	35936749	"Negative/normal, RT-PCR test"
Measurement	negative pre-treatment pregnancy test ( serum or urine )	2	4055286	Urine pregnancy test negative
Measurement	negative pre-treatment serum or urine pregnancy test	2	4055286	Urine pregnancy test negative
Measurement	negative pregnancy test of blood or urine	2	4055286	Urine pregnancy test negative
Measurement	negative rapid serological test	2	4058632	Rapid urease test for Helicobacter pylori infection negative
Measurement	negative sars-cov-2 test	2	40218805	Testing for SARS-CoV-2 in CDC laboratory
Measurement	negative serology	2	4057302	Helicobacter serology negative
Measurement	negative swab test	2	4057316	Vaginal swab culture negative
Measurement	negative test results	2	4094448	Pregnancy test negative
Measurement	negative test results for igm and igg antibodies	2	4203722	Patient encounter procedure
Measurement	negative urinary pregnancy test	2	4094448	Pregnancy test negative
Measurement	negative urine pregnancy tests	2	4055286	Urine pregnancy test negative
Measurement	negative urine/serum pregnancy test	2	4055286	Urine pregnancy test negative
Measurement	neutrophil-lymphocyte ratio	2	4097616	Reversed neutrophil/lymphocyte ratio measurement
Measurement	new york heart association ( nyha )	2	4223299	New York Heart Association Classification
Measurement	new york heart association class iii/iv	2	4228881	New York Heart Association Classification - Class IV
Measurement	niaid 8-point ordinal score	2	46270901	Deauville five point scale score
Measurement	niaid ordinal scale	2	4158499	Ordinal number
Measurement	normal laboratory values	2	421471	Values
Measurement	novel coronavirus nucleic acid	2	37394268	Coronavirus nucleic acid detection assay
Measurement	nucleic acid testing	2	4239666	Nucleic acid amplification
Measurement	oral site	2	415129	Oral site descriptor
Measurement	partial arterial oxygen pressure	2	410346	"Oxygen measurement, partial pressure, arterial"
Measurement	peak ferritin	2	2212333	Ferritin
Measurement	peripheral white blood cell count	2	4298431	White blood cell count
Measurement	person under ame	2	4210123	Under care of person
Measurement	physical exam	2	4240345	Physical examination
Measurement	plasma troponin i	2	4198748	Plasma troponin I measurement
Measurement	plateau pressure	2	4139635	Plateau pressure
Measurement	platelet	2	4039428	Platelet
Measurement	platelet count measurement	2	4267147	Platelet count
Measurement	pneumomediastinum	2	4057432	Mediastinal emphysema
Measurement	polymerase chain reaction ( pcr )	2	35923655	"Positive, Reverse Transcriptase Polymerase Chain Reaction (RT-PCR) test"
Measurement	polymerase chain reaction ( pcr ) testing	2	35923655	"Positive, Reverse Transcriptase Polymerase Chain Reaction (RT-PCR) test"
Measurement	"porphyria, erythropoietic"	2	4282625	Erythropoietic porphyria
Measurement	positive antibodies	2	4013259	Legionella antibody positive
Measurement	positive blood culture	2	46273413	Blood culture positive for microorganism
Measurement	positive breath alcohol test	2	405732	Helicobacter breath test positive
Measurement	positive covid 19 test	2	37311061	Disease caused by 2019-nCoV
Measurement	positive covid test	2	37311061	Disease caused by 2019-nCoV
Measurement	positive end-expiratory airway pressure	2	44782659	Expiratory positive airway pressure
