conditionOMOPID,conditionOMOPName
44050693,Famotidine 10 MG Oral Tablet [Acid Control] by Viva
4117112,Controlled atrial fibrillation
35804595,PCR
715271,Critical care medicine COVID-19 Consultation note
4149583,Cryoglobulinemia
4328107,Cytokine
42536188,Cytotoxic
4127555,De novo transplant disease
4247377,Discussion with family about decision
40481424,Decreased level of consciousness
4078929,Defibrillator
45880137,Definite contraindications to thrombolytic use
4168498,Deformity
43259,Delusional disorder
80182,Dermatomyositis
45877426,Deteriorated
436077,Developmental delay
443587,Diastolic heart failure
3187173,Diffuse alveolar injury
201618,Disorder of intestine
376961,Disturbance of consciousness
45878116,Doctor
2617502,Pneumonia: patient documented to have received antibiotic within 4 hours of presentation
440069,Drug dependence
41965,Medication interaction
40652422,Drugs of abuse
43789051,5 ML Penicillin V 37.5 MG/ML Oral Solution [Penicillin-V DSP] by Dsm Sinochem
4198381,Ulcer of duodenum
436235,Taste sense altered
4263848,Dyspnea on exertion
417317,Neonatal dysrhythmia
378161,Disorder of ear
439002,Eating disorder
320536,Electrocardiogram abnormal
4150442,Edentulous
4251314,Laparoscopy
443614,Chronic kidney disease stage 1
43020455,Malignant hypertensive end stage renal disease
433527,Endometriosis
4096682,Bleeding from nose
46234712,Life expectancy [Time] Estimated
4128642,Excessive
443801,Exercise-induced asthma
4146833,Family
405929,Steatosis of liver
4023221,Fertilizer
36307885,Fibrotic
3046194,Diseases or conditions Set
4130717,Neurological deficit
4340389,Fulminant hepatic failure
4336555,G-6-PD variant enzyme deficiency anemia
44806743,Glucose galactose intolerance
4352246,Pyloric obstruction
4237824,Gastric varices
429537,Gastrointestinal fistula
424712,Gastrointestinal ulcer
434153,Congenital chromosomal disease
4024659,Gestational diabetes mellitus
4137286,Glass
433852,Glomerular filtration
45888874,Glucose-6-phosphate dehydrogenase (G6PD)
4160276,Malignant neoplasm of genital structure
431186,Hemodynamic instability
435503,Hemolytic anemia
35609033,Haemorrhagic stroke
45877789,Halo
46270409,Osteonecrosis of hand due to trauma
4076873,Do or did you have this diabetes-related problem [PhenX]
4315393,Beta zero thalassemia
375415,Injury of head
4131548,Mental health problem
706284,Hematology
36716894,Fear of hematological cancer
436929,Malignant histiocytosis of extranodal AND/OR solid organ site
4163735,Hemochromatosis
4173442,Cold pressor test
432868,Hemoglobinopathy
4121123,Hemophagocytic lymphohistiocytosis
4132902,Congenital hepatitis C infection
45769278,Hepatitis E virus RNA
196455,Hepatorenal syndrome
4055224,Toxic liver disease
4307793,Hereditary angioedema
432873,Hereditary fructosuria
4100982,Immunodeficiency following hereditary defective response to Epstein-Barr virus
4182856,Hereditary xanthinuria
4099894,Increased cardiac output
4139525,High flow oxygen nasal cannula
37109703,High risk
433134,Histoplasmosis
4013105,HIV negative
4163881,PCR test for HIV 1
44354,Human T-lymphotropic virus 1 infection
19025693,plasma protein fraction
423177,Hereditary thrombophilia
4171295,Allergy to aminoquinoline antimalarial agent
4171296,Allergy to hydroxychloroquine
435522,Hypervitaminosis D
43551,Hypocalcemia
4232311,Hyponatremia
4147364,Hypothyroidism due to infiltrative disease
41944581,Hôpital-Camfrout
4144367,Idiosyncratic drug effect
193518,Intestinal obstruction
4013354,Insertion of endotracheal tube
44804574,Imminent expected death
45766379,Spondyloenchondrodysplasia with immune dysregulation
4285453,Immunosuppression-related infectious disease
433938,Poisoning by antineoplastic AND/OR immunosuppressive drug
4051058,Blood coagulation disorder with impaired clot retraction time
4312789,At risk for impaired liver function
408615,Parameter
26662,Testicular hypofunction
37309676,At increased risk of cardiovascular disease
4275212,Infancy
724051,ANTI-INFLAMMATORY AND ANTI-RHEUMATIC PRODUCTS
438661,Complication of infusion
40767974,I return insults [PhenX]
4148981,Intensive care unit
4044413,Stenosis of intestine
4130819,Implantation of electrode into brain
4048615,Intractable
37207725,Intranasal influenza vaccination given
40355609,Intrauterine contraceptive device
196168,Irregular periods
4032727,Irreversible pulpitis
75576,Irritable bowel syndrome
4253901,Juvenile rheumatoid arthritis
36310842,Kidney transplant
45878027,Influenza (laboratory-confirmed)
4052791,Language difficulty
3185989,Latent infection
316998,Left bundle branch block
438398,Leukocytosis
4196433,Senile dementia of the Lewy body type
132703,Lichen planus
3050013,Life expectancy [OASIS]
4046893,Lifestyle
36221826,Anti-Diarrhea Oral Liquid Product
4133224,Lobar pneumonia
132772,Arthus type urticaria
4251043,Local disease
4142882,Clearance of secretions of respiratory tract
4200027,Cavitation of lung
4187205,History of malignant neoplasm of lung
257907,Disorder of lung
4116778,Lesion of lung
1589795,luteinizing hormone
4115472,Major
4064671,Developmental abnormality
4231022,Intraspinal
4072113,Malawi
4057132,Ascitic fluid: malignant cells
45883898,Mass/lesion
439934,Meconium aspiration syndrome
4094235,Psychosomatic factor in physical condition
4576834,Mobile medical facility
435785,Meningitis
4302555,Menorrhagia
4086845,Mentally vague
3630942,Address mental health issues
4245042,Metabolic acidosis
4002142,Cervical spine instability
3593387,No metastatic disease
9275,metric carat
46237738,4 - Very mild pain
45882571,Cased
46291436,PLANTAIN BEESWAX MILD COUGH RELIEF - plantain beeswax mild cough relief ointment
2107541,"Dyspnea screened, no dyspnea or mild dyspnea (Pall Cr)"
44793523,Mild chronic fatigue syndrome
41101,Craniometaphyseal dysplasia - mild type
4162847,Mild to moderate
4134867,Mixed collagen vascular disease
36309238,Objective evidence of moderately severe cardiovascular disease
36210099,Motorized
44052241,Acetaminophen 650 MG Extended Release Oral Tablet [Muscle Aches & Body Pain] by Viva
4009326,Mycobacterial infection
3631129,Myeloproliferative neoplasm
42538088,Nasal
4082023,Parrot beak nasal deformity
438367,Primary malignant neoplasm of nasal cavity
381732,Nerve injury
45880366,Neurodegenerative disorders
435369,"Fetal distress, in liveborn infant"
3046374,Neurological diseases or conditions Set
44092,Poisoning by skeletal muscle relaxant
4010017,Atypical chest pain
139036,Systolic dysfunction
35621756,New York Heart Association Classification class
40762606,Lymph-vascular invasion Cancer specimen
4228483,Newly diagnosed diabetes
4305027,Finding of ankle or foot
4080879,Congenital non-bacterial non-viral infection
8516,Black or African American
2616626,Oximeter device for measuring blood oxygen levels non-invasively
43531521,Lives in noninstitutional accommodation
4140562,Non-medical irradiation
4075375,Non-verbal communication interventions
4115276,Non-small cell lung cancer
40487528,Non-Hodgkin's lymphoma of extranodal site
4001594,Non-specific
4008247,Passive immunity
401621,Referral of child to school nurse
440374,Obsessive-compulsive disorder
442588,Obstructive sleep apnea syndrome
46238109,Occupational Health
37109942,Olfactory reference disorder
3186744,Ongoing treatment with immunosuppressive agents
4247535,Opportunistic infectious disease
45884644,Hot flashes or chills
4145808,Diarrhea symptom
36310676,Human immunodeficiency virus (HIV)
762924,Nasopharyngeal and oropharyngeal swab
315361,Orthopnea
4093347,Stool finding
4167217,Family history of clinical finding
4107655,Finding relating to psychosocial functioning
35917422,Other Viral Infection
4169185,Allergy to heparin
433605,Ill-defined disease
3671627,Cyst of kidney
4152038,Respiratory disease monitoring
4135263,Partner in relationship
7796,Joint finding
4163273,Male sterilization
193739,Ovarian failure
317893,Paroxysmal supraventricular tachycardia
4199458,Passive immunization
4215127,Pathology
4161294,PCR test for SARS
4027314,Mental health impairment
4156217,Permanences
27321,Persistent vomiting
441838,Personality disorder
259153,Pain in throat
4234104,Photosensitivity
41944714,Igé
45881528,Medication/substance that is known to be contraindicated for the patient
4028665,Transfusion of plasma
4330445,Pleuritic pain
442562,Poisoning
40443308,Polycystic ovary syndrome
40480941,Screening for drug of abuse in blood specimen positive
4012558,Possible pregnancy
45883047,Cardiac arrest-post resuscitation care
4129438,Method
44808385,Pre-diabetes
4167493,Pregnancy-induced hypertension
4172369,Pre-existing disease in renal transplant
4075772,Preadmission Screening and Resident Review (PASRR) [CMS Assessment]
36308755,MD diagnosis of previous disease
315586,Priapism
4135822,Primary biliary cholangitis
4058821,Primary sclerosing cholangitis
36712852,Probable SARS
433957,Progressive multifocal leukoencephalopathy
4322556,Chronic progressive renal failure
35805724,Prophylaxis
4119522,Prosthetic heart valve sample
4174602,Proven
40319772,Psoriatic arthritis
45877392,Psychological Disorders
36307952,Bullae
4239819,Distress
4301606,Pulmonary hemorrhage
4237202,Pulmonic valve regurgitation
4142875,Solitary nodule of lung
4239826,Pulmonary thrombosis
1002959,Diameter | Pulmonary artery | OB ultrasound
42530719,Family DNA
4041437,Radiologic finding
4167669,Respiratory crackles
42873168,Reactive airway disease
36311232,"Deep venous thrombosis (DVT), pulmonary embolus (PE), or Pulmonary thrombo-embolism (PTE)"
40491473,Recurrent lower respiratory tract infection
3188,Gastroesophageal reflux disease
37208191,Regional nodal irradiation of breast
46269801,Aspirin exacerbated respiratory disease
36311097,Respiratory syncytial virus
4012381,Restlessness
4161546,Retinitis
761559,Retinopathy of right eye
4137172,Revealed
4214702,Rheumatology
4147956,Rheumatology disorder monitoring
36307931,cardiac rhythm disturbance
314059,Right bundle branch block
8509,risk
431753,Ruptured aneurysm
4311439,Sarcoma
444434,Schizophreniform disorder
37108786,Herpes zoster with secondary bacterial infection
195771,Secondary diabetes mellitus
4140977,Secondary immune deficiency disorder
4011158,Immunodeficiency secondary to chemotherapy
764573,Self-reported
76377,Scratchy sensation
37399484,Serious physical health problem
46313949,RENAL SUPP-RDP - kidney support liquid
45881187,Severe activity
1001725,Substance use disorder severity
4626977,Severe persistent allergic asthma
4338031,Mixed anxiety and depressive disorder
4323342,Recurrent bacterial infection
415338,Disorder of carotid artery
4249551,Severe diarrhea
41940705,Hœdic
4188027,Allergy to food
2107553,"Dyspnea screened, moderate or severe dyspnea (Pall Cr)"
45772124,Severe hearing loss
4240951,Open-hearth furnaceman
4034968,Recurrent severe hypoglycemia
4231504,Control of anterior epistaxis
44373,Disorder of nervous system due to diabetes mellitus
36713881,X-linked severe congenital neutropenia
4145356,Severe persistent asthma
58137,MMI Psoriasis Disease Severity Score
4111328,Craniometaphyseal dysplasia - severe type
4281749,Heart valve disorder
434492,Abnormal histology findings
40769323,History of Significant tissue loss [PhenX]
41940189,Deviat
35610518,Intellectual development disorder with significant impairment of behaviour
4266042,High risk proliferative retinopathy with clinically significant macula edema due to diabetes mellitus
45876463,Moderate signs/symptoms
3800105,Respiratory signs & symptoms
4287774,Absence of signs and symptoms of infection
45766063,Single seizure
4171683,Sinus bradycardia
72618,Disorder of skeletal muscle
4328356,Sneezing
4105056,Solid organ
4173938,Mass lesion of brain
4345332,Spinal instability
4300118,Squamous cell carcinoma
4095285,ST segment depression
4332304,Status epilepticus
35624726,Total hysterectomy via vaginal approach
4249899,Subacute bacterial endocarditis
4322252,Suicidal behavior
440925,Suicide
4298948,Ligation of fallopian tube
4212698,Suspected alcohol abuse
35609935,Suspected viral haemorrhagic fever
4588122,Suspect HIV
40479328,Exposure to Human immunodeficiency virus
36675701,Legionella pneumonia suspected
318443,Arteriosclerotic vascular disease
4280828,Infectious disease carrier
4008099,Systole
40479589,Takotsubo cardiomyopathy
426619,Disorder of taste
405502,Crohn's disease of terminal ileum
30978,Thalassemia
441051,Thoracic aortic aneurysm without rupture
4119134,Thrombocytopenic purpura
320741,Thrombophlebitis
3138,Thrombotic microangiopathy
4062488,Thyroid disorder screening
45880778,Never took
4136753,Transdermal contraceptive
37116369,Acute lung injury during and following administration of blood product
4059958,Trying to conceive
4079687,Tumor lysis syndrome
4216487,Tumor necrosis factor alpha
4168352,Tumor progression
401653,Mi^a^ blood group typing
4028109,Family Strigidae
4177703,Ulcer
40851,Viral upper respiratory tract infection
4047391,Care of unconscious patient
40482801,Type II diabetes mellitus uncontrolled
4163425,Systemic mycosis
36310984,Underlying
43531175,Eaton Lambert syndrome with underlying malignancy
4037288,Patient's condition unstable
36712982,Unstable angina co-occurrent and due to coronary arteriosclerosis
408639,Unstable fracture
45883034,Unstable
4079935,Medical illness convalescence
4136722,Multiple pelvic fractures
765658,Maternal active tuberculosis - untreated
762534,Maternal varicella infection - untreated
4296022,Vaginal structure
312349,Venous varices
433217,Venipuncture
4209072,Prevention of deep vein thrombosis
444247,Venous thrombosis
42080567,Vernonia
4211974,Acute viral hepatitis
439857,Parainfluenza virus pneumonia
42573226,Polyoma virus positive
4184757,Problem of visual accommodation
434316,von Willebrand disorder
35621758,Suspected vulva cancer
4253363,Wolff-Parkinson-White pattern
4303401,Finding reported by subject or history provider
4155398,Malingerer
4155957,Endotoxic shock
35940613,2010 Census
37311059,Exposure to 2019 novel coronavirus
45884786,AV block-3rd degree
4218642,Patch test
443611,Chronic kidney disease stage 5
46271811,Child-Pugh score class A
4326255,Abdominal abscess
36304554,CTA Chest and abdominal vessels W contrast IV
4180776,Ultrasonography by mode
443527,Abdominal compartment syndrome
4101827,Able to have sexual intercourse
440846,"Blood coagulation disorder, categorized by value of screening test"
4305577,Abnormal blood pressure
439937,C-reactive protein abnormal
4056837,Standard chest X-ray abnormal
4326594,Abnormal liver function
402149,Abnormal movement
4101018,Obstructed pulmonary venous connection
408251,Ultrasonography of head and neck
419416,Thyroid function tests abnormal
438028,Poisoning by drug AND/OR medicinal substance
4029732,Disorder of galactose metabolism
4152673,ABO blood grouping
765678,Aborted
444202,Abscess
4209859,Empyema
4295935,Accepted
4045278,Behavior accompanying sex
1139042,acetylcysteine
35804309,ACH
4096947,Disorder of acid-base balance
40479264,Acquired long QT syndrome
4206389,Acquired thrombophilia
3039506,Drug or alcohol abuse counselled CPHS
4074035,Current drinker
42742402,Severity of angina assessed by level of activity (CAD)
40480911,Infectious process
1001786,Calories burned in unspecified time --during activity
4137671,Cardiac activity
40756799,Endovascular embolization or occlusion of vessel(s) of head or neck using bioactive coils
4179444,Active range of cervical spine extension
193688,Clostridioides difficile infection
4114803,Community living activity
4159742,Diabetic foot ulcer
4190366,Basis of cancer diagnosis
38001575,"Alcohol/drug abuse or dependence, left AMA"
4152946,Gastric electrical activity
45884518,Gastric or duodenal ulcer
21493725,NM Gastrointestinal tract Views for gastrointestinal bleeding
443568,Malignant neoplasm of gastrointestinal tract
45763657,Suspected hereditary disease
4281516,Gingivitis
4185897,Granulomatosis
40764343,"To what extent are you able to carry out your everyday physical activities such as walking, climbing stairs, carrying groceries, or moving a chair [PROMIS]"
2515219,FOAMYIQ HEALTHCARE PERSONNEL HANDWASH - chloroxyenol soap
42536486,Microsatellite instability-high solid malignant tumor
133327,Viremia
444094,Finding related to pregnancy
4225885,Ill-defined infectious disease
45768731,Invasive meningococcal disease
44808713,Measurement of lactate dehydrogenase activity
373945,Major postpartum haemorrhage
4117957,Activity
4202004,Senior police/prison/fire brigade manager
42539347,Disseminated infection caused by Neisseria gonorrhoeae
42513843,"Neoplasm defined only by histology: Medulloblastoma, WNT-activated, NOS"
4298121,Infection control procedure
45654973,PLUS PLUS WHITE SMOKERS WHITENING - sodium monofluorophosphate paste
4145749,Oncologic
38003475,Psychiatric/Psychological Treatments - Other
253954,Pulmonary tuberculosis
4193169,Viral respiratory infection
40478941,Seasonal allergy
4119967,Suicidal intent
4111213,Dangerous and harmful thoughts
1034968,Non-specific active suicidal thoughts
44784442,Symptomatic congestive heart failure
4291649,Upper gastrointestinal bleeding
413997,Venous
4156184,Acuteness
4084167,Acute allergic reaction
4237543,Allergic transfusion reaction
4214956,History of clinical finding in subject
260139,Acute bronchitis
134603,Chronic myeloid leukemia
35626184,Acute attack resolved
4009624,Acute bacterial endocarditis
4102631,Acute tubulointerstitial nephritis
434894,Acute posthemorrhagic anemia
40483342,Acute exacerbation of bronchiectasis
4298178,Cardiac care: acute
45882663,Cardiac/MI
4028367,Acute disease of cardiovascular system
376106,Disorder of the central nervous system
4101602,Henoch-Schönlein purpura
381573,Acute mastoiditis without complications
4089187,Home visit for acute condition
4023479,Acute congestive heart failure
198337,Infectious diarrheal disease
4266809,Diverticular disease
45769441,Acute exacerbation of allergic asthma
4225434,Acute febrile neutrophilic dermatosis
4318555,Fever of the newborn
4243475,Acute hepatitis
46273719,Acute hypercapnic respiratory failure
432864,Acute schizophrenic episode
37018293,Inflammatory disorder of jaw region
36717032,Acute organ dysfunction due to systemic inflammatory response syndrome
38000116,Acute central respiratory depression (narrow)
42535227,Acute cerebral ischemia
4108245,Acute left ventricular failure
4333677,Mania
45882375,Acute MI
4108217,Subsequent myocardial infarction
140352,"Acute myeloid leukemia, disease"
4204047,Neurological symptom
4160274,Acute renal failure with oliguria
4150372,Acute otitis media
43530713,Acute inflammatory demyelinating polyneuropathy
4002497,"Acute promyelocytic leukemia, FAB M3"
45767563,Acute health crisis
4335169,Acute transient psychotic disorder
2616,Acute pulmonary edema
4087776,Acute pulmonary coccidioidomycosis
4058466,Acute zinc deficiency
45880411,Other respiratory problem
4268894,Acute megaloblastic anemia due to severe illness
4271576,Acute failure
40485018,Acute sickle cell splenic sequestration crisis
4296653,Acute ST segment elevation myocardial infarction
432923,Subarachnoid hemorrhage
4021336,At risk for suicide
4042397,Acute tubulointerstitial nephritis associated with systemic infection
4309406,Unexplained weight loss
44782761,Acute deep venous thrombosis of pelvic vein
4191741,Acute onset
134305,Acute lymphoid leukemia
36233798,Adcirca Pill
21604816,DRUGS USED IN ADDICTIVE DISORDERS
763419,Non-nutritive food additive
44810831,"Health Plan Indicator (NHS Scotland) - additional, medium risk"
44184,Clinical finding
4061031,Isotope - bone marrow function
40481305,Measurement of renal function
4339292,Adequate
400778,"Liver and kidney, CS"
4207029,Visuo-motor organization
4182895,Renal fraction of cardiac output
436677,Adjustment disorder
45884011,Admission
4084347,Non-urgent respiratory admission
4035127,Hypoadrenalism
320425,Heart block
45876621,Neurological impairment
36203767,Hematology+Medical oncology Disease staging note
4184058,"Lung, parenchymal surgical margin, involved by tumor"
441207,Adverse reaction to drug
40488461,Adverse drug interaction
46286497,Personal financial circumstances reviewed
4441,Mood disorder
46237778,Black/African American
500000904,OMOP Mortality after Myocardial Infarction 4
374028,Age related macular degeneration
4300606,Class Mammalia
4048068,Aggravated prostatism
427339,Dead space air
4119787,Post-upper airway obstruction pulmonary edema
4074634,Alberta
4340383,Alcoholic hepatitis
706288,Alert
37033253,ALK gene rearrangements | Blood or Tissue | Rearrangements
4271761,Ethnic group
1510627,baricitinib
35624628,Allergy to fenugreek
2002367,Allogeneic hematopoietic stem cell transplant with purging
4174368,Allogeneic transplantation
4143404,Allogeneic peripheral blood stem cell transplant
4059653,Disability living allowance
4287844,Alpha thalassemia
1305447,methyldopa
4228482,Already on aspirin
4289298,Pulmonary compliance study
4269314,Mental state finding
4171021,Conditioned response
19048133,erythromycin 333 MG [PCE]
376981,Amblyopia
415082,Amide
41894311,Datas
37209,Provision of information about alcohol use
4148381,Anaphylactoid reaction
4136151,Reaction
441235,Large cell anaplastic lymphoma
4027562,Radiologic infiltrate
4343933,Primary pauci-immune necrotizing and crescentic glomerulonephritis
4339092,Male pattern alopecia
4240839,Android
4088757,Anejaculation
4122921,Non-anemic red cell disorder
45878828,Anesthesia
4338535,"Resuscitation, anesthesia"
4253605,Angiotensin II receptor antagonist
43530988,Non-allergic hypersensitivity to angiotensin-converting enzyme inhibitor
35806338,DEX-IFN
256018,"Tuberculosis of lung, confirmed histologically"
200446,Prostatitis associated with another disorder
45883741,Another schedule
434089,Antepartum hemorrhage
4188598,High risk pregnancy
757686,SARS-CoV-2 (COVID19) IgA+IgM [Presence] in Serum or Plasma by Immunoassay
46271708,Severe acute respiratory syndrome coronavirus Ab
35807386,Antipsychotic
4090272,Anuria
4114523,Voluntary
317585,Aortic aneurysm
40481303,Aphonia
4166825,Aplasia
321689,Apnea
1138799,chlorpheniramine maleate 0.4 MG/ML / methscopolamine nitrate 0.15 MG/ML / phenylephrine hydrochloride 1.6 MG/ML Oral Solution
4281995,Gene
4094188,Arrhythmogenic right ventricular cardiomyopathy
4013893,Artemisia annua
40765349,PhenX - respiratory - arterial blood gas - ABG protocol 090201
4264734,Thromboembolism of renal arteries
4119775,Venous malformation
4119302,Pulmonary arteriovenous malformation
423448,Arteriovenous fistula
41905185,Asa Branca
4159411,American Society of Anesthesiologists physical status classification
4201096,Aseptic meningitis
4189605,Aspartate transaminase level
4309106,Aspiration pneumonia
3012362,Aspiration risk [CCC]
1112807,aspirin
4242866,Functional asplenia
45771504,Walking assistive device
4029094,Renal failure-associated hyperphosphatemia
372828,Herpes zoster ophthalmicus
724189,ANTI-ASTHMA AND COPD PRODUCTS
4233784,Asthmatic bronchitis
4046444,Asymptomatic cerebrovascular disease
437584,Ataxia
428543,Ataxia-telangiectasia syndrome
4588302,AV block-2nd degree-type 2
406874,Congenital incomplete atrioventricular heart block
4084039,Child at risk conf attend >1hr
438409,Attention deficit hyperactivity disorder
37204371,Parkinsonian pyramidal syndrome
4114509,Auditory
2313786,Auditory rehabilitation; postlingual hearing loss
4073337,Colorado
45767203,Austrian sign language
441269,Autoimmune hemolytic anemia
4034815,Autoimmune hypothyroidism
4140847,Autotransfusion
36684861,Administration of autologous hematopoietic stem cells
4080146,Autonomic neuropathy
255919,Finding of head and neck region
45884784,AV block-1st degree
4316228,Congenital arteriovenous malformation of gastrointestinal tract
46285103,Aware of overall cardiovascular disease risk
36716891,Axial spondyloarthritis
1003314,Body temperature | Axillary | Specific body temperature
4232939,Axis I diagnosis
4106303,Herb
76744,Azoospermia
40483136,Hepatitis B and hepatitis C
4165747,Bacterium
4306058,Impairment of balance
45883493,Basal cell skin cancer
4146684,Basal cell adenocarcinoma
37399589,Basal cell carcinoma of skin in situ
762812,"Tonic seizures, refractory"
4199609,Basicò
45883361,Skin Cancer
4333,Behavioral syndrome associated with physiological disturbance and physical factors
401084,Fit and well
374923,Bell's palsy
198803,Benign prostatic hyperplasia
43899,Benign neuroendocrine tumor
42600379,ARDs - Acute respiratory distress syndrome
4175692,Classification
4278669,Beta thalassemia
4250169,Bifascicular block
21498852,Bilateral
21499284,Bilateral lungs
4138307,Right heart failure due to pulmonary hypertension
41346,Radiologic opacity
37209382,Bilateral lesion of eyelids
4071021,Oil
434821,Systemic inflammatory response syndrome
1035052,"Bipolar disorder, Type 1"
4242669,Biventricular congestive heart failure
4209695,Blacking
380036,African
4228194,Diamond-Blackfan anemia
440603,Blood transfusion reaction
4147566,Bone densimetry abnormal
75053,Fracture of bone
4092441,All bone marrow
4156433,Myelosuppression
434626,Borderline personality disorder
3181021,Ischemic necrosis of small bowel
42032508,Beers NB
4085405,Congenital arterial aneurysm
36713273,Acquired arteriovenous malformation
43530285,Cancer: Brain Cancer Currently
4200516,Lesion of brain
380055,Primary malignant neoplasm of brain
35940357,Yes; distant brain metastases
45877609,Stroke/Brain Attack
313791,Bundle branch block
4043372,Feeding
4120334,Bronchial fluid sample
4195305,Hyperactive behavior
36402928,"Bronchio-alveolar carcinoma, non-mucinous in situ (C34._)"
4228301,Traumatic bronchopleural fistula
44782581,Bronchoscopic lung volume reduction
43011924,dextromethorphan hydrobromide 4 MG/ML / guaifenesin 40 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Suspension
4128109,Bulky disease status
4213231,Burkholderia
4293411,Onychomycosis caused by Aspergillus
26181,Alcohol and/or drug assessment
42082563,Cañabón
4307867,Community-acquired methicillin-resistant Staphylococcus aureus infection
4278093,Lithiasis
3018665,Calcium oxalate/Total in Stone
4076088,California
41936443,Cambia
40161669,canakinumab
4302514,Reason for procedure delay
3014845,Stager.pathology Cancer
432556,Candidal meningitis
4331364,Candidemia
433968,Candidiasis
199771,Carcinoid syndrome
4172822,Cardiac arrest due to cardiac disorder
4317285,Non-cardiogenic pulmonary edema
36712757,Cardiomyopathy due to hypertension
36715031,Anophthalmia and megalocornea with cardiopathy and skeletal anomalies syndrome
45876498,ICU.general
4077953,Therapy
4102739,Screening for cardiovascular system disease
44805359,Cardiovascular disease risk assessment by third party
4256357,Signs/symptoms-physical case management
4111212,Catastrophization
4094292,Footwear shows signs of locomotor abnormal
194992,Celiac disease
4029679,Cellular fibroma
435613,Cellulitis
421331,Degenerative disease of the central nervous system
3184827,Acquired central nervous system lesion
42709942,Trigeminal autonomic cephalalgia
432916,Cerebellar disorder
4170972,Perinatal cardiovascular disorders
37669,Cerebral edema
443454,Cerebral infarction
4248966,At risk for acute ischemic cardiac event
4131103,Neoplasm of cerebral ventricle
441874,Cerebral thrombosis
4046448,Cerebrospinal fluid leak
37209667,History of cerebrovascular accident due to ischemia
2002263,Endovascular removal of obstruction from head and neck vessel(s)
37109774,Requires vaccination
198984,Malignant tumor of cervix
4009877,Immobile
198572,Cervical intraepithelial neoplasia
43021223,Cervical discogenic pain
4588344,Cervix cancer
4144404,Ovulation
4237987,Characteristic of respiratory effort
4165529,"Coloboma, heart malformation, choanal atresia, retardation of growth and development, genital abnormalities, and ear malformations association"
4253886,Charlson Comorbidity Index
4037321,General symptom description
761961,Chemical dependency service
317301,Carmustine pulmonary toxicity
4160466,Toxicity due to chemotherapy
4238804,Chest auscultation feature
133147,Primary malignant neoplasm of skin of trunk
4058335,CT of chest
44809254,Drainage tube in situ
46273848,Fluoroscopic angiography of chest
45879249,Chest radiograph
4211641,Chest imaging
35804219,TAC (Taxotere)
45880833,Chest Tube(s)
35911831,Chest wall
4169278,Child abuse
4046123,Secondary biliary cirrhosis
4340394,Hepatic sclerosis
46271101,Chimeric antigen receptor
926978,Chimeric antigen receptor T-cell (CAR-T) therapy
703418,Signposting to CHMS
4096712,Choking
4145627,Biliary calculus
4021397,Chorioamnionitis
4257441,Chromosomal disorder
4218106,Alcoholism
4101001,Chronic anemia
414136,Chronic atrial fibrillation
4260918,Disorder of spinal region
4330696,Chronic bacterial endocarditis
4135463,Cardiovascular renal disease
44341,Infective pneumonia
45877213,Medical-pulmonary edema/CHF
4185302,Chronic myocardial ischemia
36684905,Chronic daily headache
762964,Chronic interstitial lung disease
432738,Chronic fatigue syndrome
4049322,Chronic hemodialysis diet
378145,Chronic cluster headache
44784621,Hypertensive heart and chronic kidney disease
37022778,Arrhythmia | Heart | Impression
434039,Chronic hepatic failure
198964,Chronic hepatitis C
4129296,High dose
4325865,Chronic hypercapnia
4217437,Chronic hypoventilation
46237097,IL
4103574,Chronic depression
4188971,Chronic disease of immune structure
4224657,Chronic inflammation
4234755,Idiopathic chronic inflammatory bowel disease
321307,Chronic rheumatic pericarditis
7242,CORTICOIDS
75863,Chronic interstitial cystitis
315286,Chronic ischemic heart disease
36716947,Chronic renal insufficiency
4188164,History of chronic lung disease
36311305,Chronic lymphocytic leukemia/small lymphocytic lymphoma
43622,Fetal or neonatal effect of chronic maternal respiratory disease
4253069,Invasive mechanical ventilation by intubation or tracheostomy
4178538,Family history of chronic obstructive lung disease
4235401,Emergency hospital admission for chronic obstructive pulmonary disease
443601,Chronic kidney disease stage 2
4033295,Chronic mucositis
42538688,Chronic musculoskeletal pain
4304484,Chronic myeloproliferative disorder
42539771,Education about chronic obstructive pulmonary disease
36676712,Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids
4100247,Organic psychotic condition
37079246,PTSD
260034,Chronic pulmonary coccidioidomycosis
4120094,Chronic thromboembolic pulmonary hypertension
36210679,"Chronic respiratory condition (e.g., chronic obstructive pulmonary disease)"
4269363,Chronic pyelonephritis
4146536,Renal dialysis
316452,Chronic respiratory condition due to fumes AND/OR vapors
4302342,Verbalizes chronic illness diagnosis and severity
374639,Chronic headache disorder
259848,Chronic rhinitis
4478252,Chronic paralysis due to lesion of spinal cord
40479192,Chronic systolic heart failure
45768887,Chronic pulmonary thromboembolism
377853,Chronic tension-type headache
254068,Disorder of upper respiratory system
443784,Vascular disorder
431053,Widespread
4305666,Eosinophilic granulomatosis with polyangiitis
4274025,Disease
44102914,certolizumab pegol 200 MG/ML Injection [Cimzia] by UCB
433208,Disorder of pulmonary circulation
38000067,Shock-associated circulatory or cardiac conditions (excl torsade de pointes) (narrow)
4072605,Financial circumstances
4123544,City environment
43009039,belotecan(CKD-602)
