Title,Acronym,Status,Study Results,Phases,Funded Bys,URL,trial_id,outcome,study_type,study_design
Implications of Covid-19 on the Lifestyle Changes,nan,completed,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04423978,NCT04423978,the ratio of individuals living in the province of reggio emilia who completed the survey|the ratio of individuals who changed the lifestyles during the lock-down|the number and the type of support services used the most by participants,observational,observational model: ecologic or community|time perspective: cross-sectional
Trial to Evaluate the Efficacy and Safety of Nitazoxanide (NTZ) for Pre- and Post Exposure Prophylaxis of COVID-19 and Other Viral Respiratory Illnesses (VRI) in Healthcare Workers and Others at Increased Risk of SARS-CoV-2 Infection,nan,recruiting,No Results Available,phase 3,Industry,https://ClinicalTrials.gov/show/NCT04359680,NCT04359680,the proportion of subjects with symptomatic laboratory-confirmed covid-19 identified after start of treatment and before the end of the 6-week treatment period.|the proportion of subjects with symptomatic laboratory-confirmed vri identified after the start of treatment and before the end of the 6-week treatment period.,interventional,"allocation: randomized|intervention model: parallel assignment|masking: triple (participant, care provider, investigator)|primary purpose: prevention"
KBP-201 COVID-19 Vaccine Trial in Healthy Volunteers,nan,not yet recruiting,No Results Available,phase 1|phase 2,Industry,https://ClinicalTrials.gov/show/NCT04473690,NCT04473690,"solicited administration site reactions|solicited systemic events|unsolicited adverse events and medically attended adverse events|serious adverse events, medically attended adverse events and new onset chronic diseae|vaccine elisa and neutralizing antibody titers for each treatment group|seroconversion rates",interventional,"allocation: randomized|intervention model: parallel assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: prevention"
COVID-19 in Patients With Pre-existing Cirrhosis (COVID-Cirrhosis-CHESS2002): A Multicentre Observational Study,nan,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04329559,NCT04329559,all-cause mortality of covid-19 patients with liver cirrhosis|liver-related mortality of covid-19 patients with liver cirrhosis|risk factors associated with specific outcomes of covid-19 patients with liver cirrhosis|baseline characteristics of covid-19 patients with liver cirrhosis,observational,observational model: cohort|time perspective: cross-sectional
A Clinical Study to Assess the Physiologic Effects of KB109 in Patients With COVID-19 on Gut Microbiota Structure and Function,nan,recruiting,No Results Available,not applicable,Industry,https://ClinicalTrials.gov/show/NCT04486482,NCT04486482,number of patients experiencing study-product related treatment-emergent adverse events (teaes)|relative abundance of microbial taxa in fecal samples as assessed by shotgun profiling based on shotgun sequencing.,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: other
Outpatient Use of Ivermectin in COVID-19,nan,not yet recruiting,No Results Available,phase 3,Other,https://ClinicalTrials.gov/show/NCT04530474,NCT04530474,clinical improvement,interventional,"allocation: randomized|intervention model: parallel assignment|masking: triple (participant, care provider, outcomes assessor)|primary purpose: treatment"
Hypertension in Patients Hospitalized With COVID-19,HT-COVID19,completed,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04318301,NCT04318301,rate of death|the severity of pneumonia,observational,observational model: case-control|time perspective: retrospective
Prognosis of Coronavirus Disease 2019 (COVID-19) Patients Receiving Receiving Antihypertensives,nan,completed,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04357535,NCT04357535,severity of covid-19 infection|degree of severity of respiratory disease|septic shock as defined by sepsis-3 criteria,observational,observational model: cohort|time perspective: prospective
Safety and Immunogenicity Study of Inactivated Vaccine for Prevention of COVID-19,nan,not yet recruiting,No Results Available,phase 1|phase 2,Industry,https://ClinicalTrials.gov/show/NCT04551547,NCT04551547,safety index-incidence of adverse reactions|immunogenicity index-seroconversion rates of neutralizing antibody|safety index-incidence of serious adverse events|immunogenicity index-seropositive rates of neutralizing antibody|immunogenicity index-geometric mean titer (gmt) of neutralizing antibody|immunogenicity index-geometric mean ratio (gmr) of neutralizing antibody,interventional,"allocation: randomized|intervention model: parallel assignment|masking: double (participant, investigator)|primary purpose: prevention"
"An Open Study of the Safety, Tolerability and Immunogenicity of the Drug ""Gam-COVID-Vac"" Vaccine Against COVID-19",nan,completed,No Results Available,phase 1|phase 2,Other,https://ClinicalTrials.gov/show/NCT04436471,NCT04436471,changing ofantibody levels against the sars-cov-2 glycoprotein s in 42 days|number of participants with adverse events|changing of of virus neutralizing antibody titer|changing of antigen-specific cellular immunity level,interventional,allocation: non-randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: prevention
SARS-CoV-2 (COVID-19) Detection Using the Breath Analizer TeraSystem,nan,not yet recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04497610,NCT04497610,presence of disease,observational,observational model: cohort|time perspective: prospective
Finding Out if COVID-19 Infection Can be pREdicted by ChAnges in Smell and/or Taste,FORECAST,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04377815,NCT04377815,percentage of people reporting changes in smell/taste|mortality rate|percentage of people with change in smell/taste before other symptoms|proportion of other covid-19 linked symptoms in people with smell and/or taste change|percentage of people with persistent changes in smell and/or taste|percentage of hospitalisation|co-morbidities association|prevalence of changes in smell/taste|clinical outcomes,observational,observational model: cohort|time perspective: other
COVID-19 Virtual Care at Home,nan,recruiting,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04420182,NCT04420182,14 day patient satisfaction questionnaire|emergency department visits|14 day eq-5d-5l scores,interventional,allocation: n/a|intervention model: single group assignment|masking: none (open label)|primary purpose: treatment
Safety and Immunogenicity Study of an Inactivated SARS-CoV-2 Vaccine for Preventing Against COVID-19,nan,recruiting,No Results Available,phase 1|phase 2,Other,https://ClinicalTrials.gov/show/NCT04412538,NCT04412538,"adverse reactions/events rate|seroconversion rate of neutralizing antibodies against sars-cov-2 phase iia (day 0, 14 schedule)|seroconversion rate of neutralizing antibodies against sars-cov-2 phase iia (day 0, 28 schedule)|seroconversion rate of igg antibodies against sars-cov-2 phase iia (day 0, 14 schedule)|seroconversion rate of igg antibodies against sars-cov-2 phase iia (day 0, 28 schedule)|serious adverse events|level of neutralizing antibodies against sars-cov-2 phase ia (day 0, 14 schedule)|level of neutralizing antibodies against sars-cov-2 phase iia (day 0, 14 schedule)|level of igg antibodies against sars-cov-2 phase ia (day 0, 14 schedule)|level of igg antibodies against sars-cov-2 phase iia (day 0, 14 schedule)|level of neutralizing antibodies against sars-cov-2 phase ia (day 0, 28 schedule)|level of neutralizing antibodies against sars-cov-2 phase iia (day 0, 28 schedule)|level of igg antibodies against sars-cov-2 phase ia (day 0, 28 schedule)|level of igg antibodies against sars-cov-2 phase iia (day 0, 28 schedule)|seroconversion rate of neutralizing antibodies against sars-cov-2 phase ia (day 0, 14 schedule)|seroconversion rate of igg antibodies against sars-cov-2 phase ia (day 0, 14 schedule)|seroconversion rate of neutralizing antibodies against sars-cov-2 phase ia (day 0, 28 schedule)|seroconversion rate of igg antibodies against sars-cov-2 phase ia (day 0, 28 schedule)",interventional,"allocation: randomized|intervention model: parallel assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: prevention"
Moxibustion Plus Cupping in Convalescent Patients With COVID-19,nan,recruiting,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04374084,NCT04374084,"the change of the average vas score from baseline to week 4|the change of the average vas score from baseline to week 2, and week 8|the change of the severity vas score from baseline to week 2, week 4 and week 8|the change of the average insomnia vas score from baseline to week 2, week 4 and week 8|the change of the average vas score of sweating, mental fatigue, anorexia and nervousness from baseline to week 2, week 4 and week 8|the change of the average times of diarrhea and complete spontaneous bowel movement to week 2, week 4 and week 8|the proportion of patients with 50%/75% improvement of clinical symptoms to week 2, week 4 and week 8|the change of the walking distance of six-minute-walking test from baseline to week 2, week 4 and week 8|the change of the lowest oxygen saturation of six-minute-walking test from baseline to week 2, week 4 and week 8|the proportion of patients in recovery of pulmonary function on week 2 and week 4|the proportion of patients whose lung ct return to normal on week 4|the change of the who qol-bref score from baseline to week 4 and week 8|the change of the sas score from baseline to week 4 and week 8|the change of the sds score from baseline to week 4 and week 8|the change of the blood crp value from baseline to week 4|the change of the blood lymph# value from baseline to week 4|the change of the blood neut% value from baseline to week 4|the change of the average vas score from baseline to week 4 in different age groups.|the change of the average vas score from baseline to week 4 in different gender groups.|the change of the average vas score from baseline to week 4 in different clinical classification of covid-19.",interventional,allocation: randomized|intervention model: parallel assignment|masking: single (outcomes assessor)|primary purpose: treatment
Core Warming of COVID-19 Patients,nan,not yet recruiting,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04426344,NCT04426344,viral load measured in tracheal aspirate 72 hours after initiation of core warming|pao2/fio2 ratio 72 hours after initiation of core warming|duration of mechanical ventilation,interventional,allocation: randomized|intervention model: parallel assignment|masking: single (participant)|primary purpose: treatment
COVID-19: Human Epidemiology and Response to SARS-CoV-2,HEROS,"active, not recruiting",No Results Available,nan,NIH|Other,https://ClinicalTrials.gov/show/NCT04375761,NCT04375761,"cumulative incidence of sars-cov-2 rna detection in nasal samples among index participants and their household contacts over the study/surveillance period|percent of index participants and their household contacts with detectable sars-cov-2-specific antibodies in serum over the study/surveillance period|cumulative incidence of sars-cov-2 detection in nasal samples among index participants with asthma and other atopic disease compared to index participants without atopic disease over the study/surveillance period|percent of index participants with asthma and other atopic disease with detectable sars-cov-2-specific antibodies in serum compared to index participants without atopic disease over the study/surveillance period|changes in the nasal transcriptome associated with detection of sars-cov-2 in nasal samples among index participants and their household contacts over the study/surveillance period|changes in the nasal transcriptome associated with detection of sars-cov-2 in nasal samples among index participants with asthma and other atopic disease compared to index participants without atopic disease over the study/surveillance period|symptoms associated with detection of sars-cov-2 in nasal samples among index participants and their household contacts over the study/surveillance period|cumulative incidence of sars-cov-2 detection in nasal samples among index participants using topical steroids compared to index participants that are not using topical steroids over the study/surveillance period|cumulative incidence of sars-cov-2 detection in nasal samples among index participants using topical, oral, or inhaled steroids compared to index participants that are not using topical, oral, or inhaled steroids during the study/surveillance period|analysis of factors, baseline and prior history, for possible association with the cumulative incidence of sars-cov-2 detection in nasal samples: index participants and their household contacts over the study/surveillance period",observational,observational model: family-based|time perspective: prospective
Enzalutamide Treatment in COVID-19,COVIDENZA,recruiting,No Results Available,phase 2,Other|Industry,https://ClinicalTrials.gov/show/NCT04475601,NCT04475601,"time to worsening of disease|time to improvement of disease|adverse events|duration of supplemental oxygen (days)|admission to icu|laboratory assessment of hemoglobin concentration day 0, 2, 4 and 6|virus load assessment day 0, 2, 4 and 6|hospital stay (days)|re-admission to hospital due to rebound covid-19|mortality at 6 months|hormonal status at 6 months|serological immunity for covid-19|laboratory assessment of crp concentration day 0, 2, 4 and 6|laboratory assessment of liver function day 0, 2, 4 and 6|laboratory assessment of creatinine concentration day 0, 2, 4 and 6|laboratory assessment of d-dimer concentration day 0, 2, 4 and 6|laboratory assessment of platelets concentration day 0, 2, 4 and 6|laboratory assessment of il-6 concentration day 0, 2, 4 and 6|laboratory assessment of b- and t-lyphocytes concentration day 0, 2, 4 and 6",interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
"Lung Function, Exercise Capacity and Health-Related Quality of Life After Severe COVID-19",nan,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04410107,NCT04410107,forced expiratory volume in the first second/forced vital capacity|total lung capacity|lung diffusion capacity for carbon monoxide|6-minute walk test distance|short-form 36 questionnaire (sf-36)|forced vital capacity|residual volume/total lung capacity|inspiratory capacity/total lung capacity|airway resistance (raw)|resistance at 20hz and 5hz (r5-r20)|reactance at 5hz (x5)|resonant frequency (fres)|reactance area (a–•)|pulse oximetry (spo2) at rest|pulse oximetry (spo2) during exercise|respiratory symptoms adapted from american thoracic society questionnaire|oxygen uptake at peak exercise|minute-ventilation/carbon dioxide output during exercise|dyspnea during exercise|inspiratory capacity during exercise|beck anxiety inventory (bai)|beck depression inventory (bdi)|post-traumatic stress symptoms questionnaire,observational,observational model: cohort|time perspective: prospective
Efficacy of Hydroxychloroquine Prophylaxis for Health Care Workers at High Risk for COVID-19,nan,recruiting,No Results Available,phase 1|phase 2,Other,https://ClinicalTrials.gov/show/NCT04435808,NCT04435808,sars-cov-2 infection|symptomatic vs. asymptomatic infection with sars-cov-2|occupational health exposure|impact of hydroxychloroquine use on need for hospitalization with sars-cov-2 infection|impact of hydroxychloroquine use on need for icu care with sars-cov-2 infection|adverse effect profile of hydroxychloroquine|seroconversion following sars-cov-2 infection|metagenomic next generation sequencing of sars-cov-2 isolates,interventional,allocation: non-randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: prevention
Study of Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Severe COVID-19,nan,not yet recruiting,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04273646,NCT04273646,"pneumonia severity index|oxygenation index (pao2/fio2)|side effects in the uc-mscs treatment group|28-days survival|sequential organ failure assessment|c-reactive protein|procalcitonin|lymphocyte count|cd3+, cd4+ and cd8+ t celll count|cd4+/cd8+ratio",interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
The Nitazoxanide Plus Atazanavir for COVID-19 Study,NACOVID,not yet recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04459286,NCT04459286,time to clinical improvement|time to sars-cov-2 negativity|difference in sars-cov-2 auc|time to symptoms resolution|clinical status as assessed with the seven-category ordinal scale on days 7 and 14|duration of hospitalization in survivors|day 28 mortality|time from treatment initiation to death|proportion with viral rna detection over time,interventional,allocation: randomized|intervention model: parallel assignment|masking: single (outcomes assessor)|primary purpose: treatment
A Clinical Study to Assess the Natural History of COVID-19 and Effects of KB109 and Supportive Self-care in Outpatients With Mild-to-moderate COVID-19,nan,recruiting,No Results Available,not applicable,Industry,https://ClinicalTrials.gov/show/NCT04414124,NCT04414124,number of patients experiencing study-product related treatment-emergent adverse events (teaes)|change from baseline to end of intake in overall composite covid-19 symptom score|time to resolution of fever|proportion of patients with decreased oxygen saturation|effect of covid-19 symptoms on physical activities|proportion of patients requiring hospitalization,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: other
Chloroquine as Antiviral Treatment in Coronavirus Infection 2020,nan,recruiting,No Results Available,phase 4,Other,https://ClinicalTrials.gov/show/NCT04331600,NCT04331600,covid-19-related hospitalization or all-cause death|decrease in covid-19 symptoms|development of pneumonia|development of coronavirus infection-related complications,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
"COVID-19 CHAMPS Study of Healthcare, First Responder and Service Workers",CHAMPS,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04370821,NCT04370821,"sample size of enrolled champs study participants by demographic characteristics during the first two years of the study|exposure to sars-cov-2 based on models computed from participant baseline data and community variables, if available.|infectious disease and chronic disease incidence rates by demographic characteristics|completeness of data by demographic characteristics.|participation rates in ancillary and sub-studies within the champs registry.|number of participants enrolled in randomized trials based on the champs registry",observational,observational model: cohort|time perspective: prospective
Safety and Immunogenicity Study of an Inactivated SARS-CoV-2 Vaccine for Preventing Against COVID-19 in People Aged ‚©æ60 Years,nan,enrolling by invitation,No Results Available,phase 1|phase 2,Other,https://ClinicalTrials.gov/show/NCT04470609,NCT04470609,adverse reactions/events rate|seroconversion rate of neutralizing antibodies against sars-cov-2 phase iib|seroconversion rate of igg antibodies against sars-cov-2 phase iib|serious adverse events|seroconversion rate of neutralizing antibodies against sars-cov-2 phase ib|seroconversion rate of igg antibodies against sars-cov-2 phase ib|level of neutralizing antibodies against sars-cov-2 phase ib|level of igg antibodies against sars-cov-2 phase ib|level of neutralizing antibodies against sars-cov-2 phase iib|level of igg antibodies against sars-cov-2 phase iib,interventional,"allocation: randomized|intervention model: parallel assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: prevention"
Convalescent Plasma in the Early Treatment of High-Risk Patients With SARS-CoV-2 (COVID-19) Infection,nan,recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04513158,NCT04513158,determine the therapeutic efficacy (response rate) of convalescent plasma infusion in patients at high risk for mortality when infected by sars-cov-2 (covid-19).|determine the immunologic effects of convalescent plasma infusion|absolute lymphocyte count (10*3/ul)|reatinine kinase (mg/dl)|c-reactive protein (mg/dl)|d-dimer (ng/ml feu)|interleukin-6 (pg/ml)|ferritin (ng/ml),interventional,allocation: n/a|intervention model: single group assignment|masking: none (open label)|primary purpose: treatment
Safety and Immunogenicity Study of Inactivated Vaccine for Prevention of SARS-CoV-2 Infection(COVID-19),nan,"active, not recruiting",No Results Available,phase 1|phase 2,Industry,https://ClinicalTrials.gov/show/NCT04383574,NCT04383574,safety index-incidence of adverse reactions|immunogenicity index-seroconversion rates of neutralizing antibody|safety index-incidence of serious adverse events|immunogenicity index-seropositive rates of neutralizing antibody|immunogenicity index-geometric mean titer (gmt) of neutralizing antibody|immunogenicity index-geometric mean ratio (gmr) of neutralizing antibody,interventional,"allocation: randomized|intervention model: parallel assignment|masking: double (participant, investigator)|primary purpose: prevention"
Safety and Immunogenicity Study of Inactivated Vaccine for Prophylaxis of SARS CoV-2 Infection (COVID-19),nan,"active, not recruiting",No Results Available,phase 1|phase 2,Industry,https://ClinicalTrials.gov/show/NCT04352608,NCT04352608,"safety indexes of adverse reactions|immunogenicity indexes of neutralizing-antibody seroconversion rates for the emergency vaccination schedule ôºàday 0,14ôºâ|immunogenicity indexes of neutralizing-antibody seroconversion rates for the routine vaccination schedule (day 0,28)|occurrence of abnormal changes of laboratory safety examinations (hemoglobin,wbcs, platelets, alt, ast, total bilirubin, creatinine, creatine phosphokinase, urine protein, urine sugar, urinary erythrocyte)|safety indexes of serious adverse events (saesôºâ|immunogenicity indexes of neutralizing-antibody seroconversion rates|immunogenicity indexes of igg antibody seropositivity rates|immunogenicity indexes igm antibody seropositivity rates|immunogenicity indexes of gmt of neutralizing-antibody|immunogenicity indexes of gmr of neutralizing-antibody",interventional,"allocation: randomized|intervention model: parallel assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: prevention"
TXA and Corona Virus 2019 (COVID19) in Outpatients,TCOutpatient,recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04338074,NCT04338074,hospitalization,interventional,"allocation: randomized|intervention model: parallel assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: treatment"
Ruxolitinib Managed Access Program (MAP) for Patients Diagnosed With Severe/Very Severe COVID-19 Illness,nan,available,No Results Available,nan,Industry,https://ClinicalTrials.gov/show/NCT04337359,NCT04337359,nan,expanded access:intermediate-size population,nan
Characteristics and Outcomes of Hospitalized Patients With COVID-19 in Spain,COVID19@Spain,completed,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04355871,NCT04355871,overall mortality|mechanical ventilation,observational,observational model: cohort|time perspective: retrospective
Analysis of Volatile Organic Compounds by Electronic Noses in Hospitalised Patients for an Infection by SARS-COV-2 (COVID-19),VOC-COVID,recruiting,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04379154,NCT04379154,profiles of volatile organic compounds (vocs) in exhaled air between 2 health conditions|profiles of volatile organic compounds (vocs) in exhaled air on 1 health condition|profiles of volatile organic compounds (vocs) in exhaled air between 2 periods,interventional,allocation: n/a|intervention model: single group assignment|masking: none (open label)|primary purpose: other
Azithromycin for COVID-19 Treatment in Outpatients Nationwide,ACTION,recruiting,No Results Available,phase 3,Other|Industry,https://ClinicalTrials.gov/show/NCT04332107,NCT04332107,hospitalization|viral load|mortality|adverse events|positive sars-cov-2 test - nasal swab|positive sars-cov-2 test - saliva swab|positive sars-cov-2 test - rectal swab|genetic macrolide resistance determinants|covid-19 symptoms|number of emergency room visits|number of household members with covid-19 (confirmed or symptomatic)|death,interventional,"allocation: randomized|intervention model: parallel assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: treatment"
"Evaluate the Efficacy and Safety of Oral Hydroxychloroquine, Indomethacin and Zithromax in Subjects With Mild Symptoms of COVID-19",COVID-19,recruiting,No Results Available,phase 1|phase 2,Other,https://ClinicalTrials.gov/show/NCT04344457,NCT04344457,improvement of clinical status|time of clinical recovery of fever|time of clinical recovery of cough|safety as determined by changes in qtc intervals measured by ecg|safety as determined by presence of side effects|time to improvement,interventional,allocation: n/a|intervention model: single group assignment|masking: none (open label)|primary purpose: treatment
Evaluation of Interleukine 6 (and Other Cytokines and Inflammatory Markers) in COVID-19 Patients With a Systemic Inflammatory Response Syndrome,nan,recruiting,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04346017,NCT04346017,il6 concentration|il6 concentration change from baseline value|complement parameters|complement parameters change from baseline values|inflammatory cytokines baseline concentrations|inflammatory cytokines change from baseline values|concentration of markers of macrophage activation|markers of macrophage activation change from baseline values,interventional,allocation: non-randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: basic science
Early Use of Corticosteroids in Hospitalized Patients With Moderate COVID19 Pneumonia,PREDCOVID,recruiting,No Results Available,phase 3,Other,https://ClinicalTrials.gov/show/NCT04451174,NCT04451174,"composite primary end-point: admission to icu, need for invasive mechanical ventilation or all-cause death by day 28",interventional,allocation: randomized|intervention model: parallel assignment|masking: single (outcomes assessor)|primary purpose: treatment
"Efficacy of Convalescent Plasma to Treat COVID-19 Patients, a Nested Trial in the CORIMUNO-19 Cohort",CORIPLASM,recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04345991,NCT04345991,survival without needs of ventilator utilization or use of immunomodulatory drugs|who progression scale ‚â•6|severe adverse events|who progression scale|overall survival|time from randomization to discharge|time to oxygen supply independency|survival without needs of ventilator utilization|survival without use of immunomodulatory drugs,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Convalescent Plasma Trial in COVID -19 Patients,nan,completed,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04356534,NCT04356534,requirement for invasive ventilation|change in viral clearance|radiological change|change in white cell count|c reactive protein measurement|lactate dehydrogenase measurement|procalcitonin measurement|d dimer measurement|ferritin measurement|troponin t measurement|brain naturetic peptide measurement|mortality rate,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Conjunctival Swab vs Nasopharyngeal Swab in Patients With COVID-19,nan,recruiting,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04444596,NCT04444596,sars-cov2 positive conjunctival swabs|conjunctival swab vs nasopharyngeal swab,interventional,allocation: n/a|intervention model: single group assignment|masking: none (open label)|primary purpose: diagnostic
Rehabilitation Needs After COVID-19 Hospital Treatment,REACT,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04438239,NCT04438239,"number of participants with considerable dyspnea: medical research council (mrc, 0-4, lower score better outcome)|number of participants with fatigue|number of participants with anxiety|number of participants with depression|level of independence in b-adl|level of participation in social|description of qualitative data about patients' experience",observational,observational model: other|time perspective: prospective
Efficacy of Intranasal Probiotic Treatment to Reduce Severity of Symptoms in COVID19 Infection,nan,recruiting,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04458519,NCT04458519,change in severity of covid-19 infection|number of days with any symptom of anosmia|maximal intensity attained in overall assessment of symptoms of covid-19 infection as measured on visual analogue scale (vas).|number of days where rescue medication is required,interventional,"allocation: randomized|intervention model: parallel assignment|masking: double (care provider, outcomes assessor)|primary purpose: treatment"
Determination of the Effectiveness of Oral Chlorine Dioxide in the Treatment of COVID 19,nan,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04343742,NCT04343742,negative testing of covid19,observational,observational model: case-only|time perspective: prospective
Prospective Quality Register of Patients With Confirmed Covid-19 at Oslo University Hospital,CovidRegOUH,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04345536,NCT04345536,mortality|severe disease,observational,observational model: cohort|time perspective: prospective
Convalescent Plasma as Therapy for Covid-19 Severe SARS-CoV-2 Disease (CONCOVID Study),ConCoVid-19,recruiting,No Results Available,phase 2|phase 3,Other,https://ClinicalTrials.gov/show/NCT04342182,NCT04342182,overall mortality until discharge from the hospital or a maximum of 60 days after admission whichever comes first|impact of 300ml convp therapy on hospital days|impact of 300ml convp on weaning from oxygen therapy|impact of 300ml convp on overall mortality in patients admitted to the icu within 24 hours after admission|difference in the effect of convp on mortality in patients with a duration of symptoms less or more the median duration of symptoms in the study population|impact of 300ml convp therapy on icu days in patients admitted to the icu within 24 hours after admission|impact of plasma therapy on the decrease in sars-cov2 shedding from airways|impact of ctl and nk cell immunity on the likelihood of being protected from immune serum transfer|safety of convp therapy|change of the 8-point who covid19 disease severity scale on day 15|change of the 8-point who covid19 disease severity scale on day 30|change of the 8-point who covid19 disease severity scale on day 15 in the subgroup of patients with a baseline neutralizing antibody titer (prnt50) <80.|impact of plasma therapy on risk of long-term structural lung damage and lung function,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Charit√© Trial of Cenicriviroc (CVC) Treatment for COVID-19 Patients,nan,recruiting,No Results Available,phase 2,Other|Industry,https://ClinicalTrials.gov/show/NCT04500418,NCT04500418,subject¬¥s responder status (score on the 7-point ordinal scale on day 15)|evaluation of change in clinical condition based on the 7-point ordinal scale|evaluation of change in clinical condition based on the 7-point ordinal scale and responder status|hospital resource utilization comparison,interventional,"allocation: randomized|intervention model: parallel assignment|masking: triple (participant, care provider, investigator)|primary purpose: treatment"
A Clinical Trial of Mycobacterium w in Critically Ill COVID 19 Patients,nan,recruiting,No Results Available,not applicable,Industry|Other,https://ClinicalTrials.gov/show/NCT04347174,NCT04347174,sequential organ failure assessment (sofa) scores|7-category ordinal scale that ranges from 1 (not hospitalized with resumption of normal activities) to 7 (death)|all-cause mortality|incidence of ae / sae or event of clinical significance|sars-cov-2 detectable in nasal or oropharyngeal (op) sample|icu length of stay|duration of mechanical ventilation|duration of hospitalization|clinical improvement|time (in days) from treatment initiation to death,interventional,"allocation: randomized|intervention model: parallel assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: treatment"
Evaluation of Therapeutic Effects of Melatonin by Inhibition of NLRP3 Inflammasome in COVID19 Patients,nan,recruiting,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04409522,NCT04409522,melatonin|inflammatory cytokines|c-reactive protein (crp)|cough|oxygen saturation of the blood|esr|radiological treatment response|inflammatory route,interventional,"allocation: randomized|intervention model: parallel assignment|masking: double (investigator, outcomes assessor)|primary purpose: treatment"
The VOICE-COVID-19,nan,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04508972,NCT04508972,correlation between data captured using amazon alexa compared to manual (human) collected data.,observational,observational model: cohort|time perspective: prospective
The Effects of Standard Protocol With or Without Colchicine in Covid-19 Infection,nan,recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04360980,NCT04360980,crpxn/r ratio change|clinical deterioration by the who definition|pcr viral load|ct severity involvement index|ldh change,interventional,"allocation: randomized|intervention model: parallel assignment|masking: double (participant, investigator)|primary purpose: treatment"
Hematology and Clinical Picture in Pediatric COVID-19 Infection,nan,completed,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04487119,NCT04487119,hematological findings|clinical presentations,observational,observational model: cohort|time perspective: retrospective
