interventionName,interventionID
reverse transcription polymerase chain reaction [diagnostic test],intervention_863
discontinuation of acei/arb [other],intervention_864
continuation of acei/arb [other],intervention_865
"cerebrospinal fluid sampling, meningeal and brain parenchyma biopsies [drug]",intervention_866
tigerase¬æ and best available care [biological],intervention_867
best available care [other],intervention_868
thromboprophylaxis with low-molecular-weight heparin or fondaparinux [drug],intervention_869
covid-19+ observational [other],intervention_870
dexamethasone and hydroxychloroquine [drug],intervention_871
emtricitabine/tenofovir alafenamide 200 mg-25 mg oral tablet [drug],intervention_872
standard of care (soc) + ang-3777 [drug],intervention_873
standard of care (soc) + placebo [drug],intervention_874
serological test [other],intervention_875
rapid molecular test [other],intervention_876
next generation sequencing (ngs) analysis [genetic],intervention_877
serum chemistry analysis [other],intervention_878
sodium bicarbonate [drug],intervention_879
q16 testing [diagnostic test],intervention_880
nasopharyngeal swab and main laboratory [diagnostic test],intervention_881
antibody test (sars-cov2) [diagnostic test],intervention_882
hydroxychloroquine and azithromycin treatment arm. [drug],intervention_883
control arm [drug],intervention_884
online survey about dietary and lifestyle habits [other],intervention_885
decidual stromal cells (dsc) [biological],intervention_886
diphenhydramine [drug],intervention_887
control message [other],intervention_888
baseline message [other],intervention_889
personal freedom message [other],intervention_890
economic freedom message [other],intervention_891
self-interest message [other],intervention_892
community interest message [other],intervention_893
economic benefit message [other],intervention_894
guilt message [other],intervention_895
embarrassment message [other],intervention_896
anger message [other],intervention_897
trust in science message [other],intervention_898
not bravery message [other],intervention_899
elmo project at covid-19:study in humans [other],intervention_900
elmo project at covid-19:proof of concept and usability [device],intervention_901
pathogen reduced sars-cov-2 convalescent plasma [biological],intervention_902
drug isotretinoin (13 cis retinoic acid ) capsules+standard treatment [drug],intervention_903
isotretinoin(aerosolized 13 cis retinoic acid) +standard treatment [drug],intervention_904
telerehabilitation [device],intervention_905
home pulse oximetry monitoring [device],intervention_906
extracorporeal blood purification using the oxiris¬æ (an69st) hemofilter [device],intervention_907
active pbmt/smf [device],intervention_908
placebo pbmt/smf [device],intervention_909
covid-19 and intensive care [other],intervention_910
nebulized platelet lysate [biological],intervention_911
nebulized sterile saline [other],intervention_912
spartan covid-19 system [device],intervention_913
l-citrulline [dietary supplement],intervention_914
zinc citrate [dietary supplement],intervention_915
vitamin b12 [dietary supplement],intervention_916
angiotensin converting enzyme inhibitor [drug],intervention_917
hyperbaric oxygen treatment (hbot) i.e. inhalation of pressurized oxygen delivered by a hyperbaric chamber (drug/device) [combination product],intervention_918
melphalan [drug],intervention_919
control group [device],intervention_920
sledd with a l-mod [device],intervention_921
anakinra prefilled syringe [drug],intervention_922
tocilizumab prefilled syringe [drug],intervention_923
standard-of-care treatment [drug],intervention_924
radiotherapy [radiation],intervention_925
model building [other],intervention_926
model validation [other],intervention_927
mrna in urine test [diagnostic test],intervention_928
multiple doses of anti-sars-cov-2 convalescent plasma [biological],intervention_929
gargle/mouthwash [drug],intervention_930
sulodexide [drug],intervention_931
helmet non-invasive ventilation [device],intervention_932
covid-19 pcr and serology testing [other],intervention_933
netosis markers [diagnostic test],intervention_934
performance evaluation study of realdetect rt-pcr kit for covid-19 detection [device],intervention_935
methylprednisolone 80 mg/ml injectable suspension [drug],intervention_936
covid-19 swab [diagnostic test],intervention_937
chest physiotherapy using a non-invasive oscillating device [procedure],intervention_938
normobaric oxygen therapy [device],intervention_939
sarilumab prefilled syringe [drug],intervention_940
pembrolizumab (mk-3475) [biological],intervention_941
inhaled supplemental oxygen [other],intervention_942
emergency laparotomy [procedure],intervention_943
conventional oxygen [procedure],intervention_944
cpap [procedure],intervention_945
hfno [procedure],intervention_946
mechanical ventilation [procedure],intervention_947
lopinavir-ritonavir drug combination [drug],intervention_948
covid-19 diagnostic pcr [diagnostic test],intervention_949
thorax ct [diagnostic test],intervention_950
ayurvedic kadha [dietary supplement],intervention_951
saline nasal irrigation [other],intervention_952
saline with baby shampoo nasal irrigation [other],intervention_953
igg [diagnostic test],intervention_954
ic14 [biological],intervention_955
bromhexine oral tablet and/or hydroxychloroquine tablet [drug],intervention_956
octagam 10% [biological],intervention_957
emergency surgery [procedure],intervention_958
dociparastat sodium [drug],intervention_959
electric pad for human external pain therapy [device],intervention_960
peripheral blood [other],intervention_961
molecular testing for virus rna using rt-pcr [diagnostic test],intervention_962
face mask sampling [diagnostic test],intervention_963
patients covid 19 [other],intervention_964
dornase alfa [drug],intervention_965
leukapheresis [other],intervention_966
pegylated interferon-œ±2b [drug],intervention_967
atovaquone/azithromycin [drug],intervention_968
imaging by thoracic scanner [diagnostic test],intervention_969
serology test [diagnostic test],intervention_970
standard therapy for covid-19 according to the stablished hospital protocols. [drug],intervention_971
biological sampling [biological],intervention_972
ecmo implantation [procedure],intervention_973
biovitals [device],intervention_974
control swab [device],intervention_975
prototype swab [device],intervention_976
current ipac-uhn ppe [device],intervention_977
modified ipac-uhn ppe [device],intervention_978
"virtual assistant first, then human coach [other]",intervention_979
"human coach first, then virtual assistant [other]",intervention_980
no interventions planned [other],intervention_981
nudge [behavioral],intervention_982
presence of specific anti-sars-cov-2 antibodies [diagnostic test],intervention_983
lucinactant [drug],intervention_984
azithromycin 500mg oral tablet [drug],intervention_985
glucose tablets [dietary supplement],intervention_986
admission to icu for covid-19 [other],intervention_987
only standard treatment [drug],intervention_988
tocilizumab 20 mg/ml intravenous solution [actemra]_#1 [drug],intervention_989
tocilizumab 20 mg/ml intravenous solution [actemra]_#1 (2 doses) [drug],intervention_990
telehealth [other],intervention_991
covid-19 barrier box [device],intervention_992
euroimmun assay [diagnostic test],intervention_993
convalescent plasma [other],intervention_994
turkish physicians [behavioral],intervention_995
poractant alfa [drug],intervention_996
degarelix [drug],intervention_997
nafamostat mesylate [drug],intervention_998
icosapent ethyl [drug],intervention_999
quercetin [drug],intervention_1000
bromelain [dietary supplement],intervention_1001
sti-1499 [biological],intervention_1002
tacrolimus [drug],intervention_1003
point-of-care test for sars-cov-2 [diagnostic test],intervention_1004
serum inflammatory biomarkers [diagnostic test],intervention_1005
folic acid [drug],intervention_1006
liposomal lactoferrin [drug],intervention_1007
covid-19 convalscent plasma [drug],intervention_1008
abivertinib [drug],intervention_1009
intermediate dose enoxaparin/ unfractionated heparin [drug],intervention_1010
standard prophylactic dose enoxaparin/ unfractionated heparin [drug],intervention_1011
atorvastatin 20mg [drug],intervention_1012
infusion iv of mesenchymal stem cells [biological],intervention_1013
"mcn (methylene blue, vitamin c, n-acetyl cysteine) [drug]",intervention_1014
50 mg/ml virazole [drug],intervention_1015
100 mg/ml virazole [drug],intervention_1016
cardiopulmonary resuscitation [other],intervention_1017
modified rankin score [other],intervention_1018
lopinavir/ritonavir 200 mg-50 mg oral tablet [drug],intervention_1019
telmisartan 40mg oral tablet [drug],intervention_1020
atorvastatin 20 mg oral tablet [drug],intervention_1021
coronacidetm covid-19 igm/igg rapid test and premier biotech covid-19 igm/igg rapid test [diagnostic test],intervention_1022
sbi-101 [biological],intervention_1023
sham [device],intervention_1024
ct-scan [other],intervention_1025
danoprevir+ritonavir [drug],intervention_1026
nangibotide [drug],intervention_1027
mindrhythm harmony [device],intervention_1028
ganovo+ritonavir+/-interferon nebulization [drug],intervention_1029
sars-cov-2 antibody testing [diagnostic test],intervention_1030
throat swab [procedure],intervention_1031
stress and anxiety questionnaire [other],intervention_1032
soc plus 15mg/kg eb05 iv [biological],intervention_1033
soc plus placebo iv [other],intervention_1034
let it out (lio)-c [other],intervention_1035
neutral writing control [other],intervention_1036
scta01 [biological],intervention_1037
serologic sars-cov-2 screening [diagnostic test],intervention_1038
physical exercise [other],intervention_1039
education sessions [behavioral],intervention_1040
ati-450 [drug],intervention_1041
emergency ventilator splitter [device],intervention_1042
isoflurane inhalant product [drug],intervention_1043
sevoflurane inhalant product [drug],intervention_1044
"questionnaire, phone call [other]",intervention_1045
anakinra alone (stages 2b/3) [drug],intervention_1046
anakinra and ruxolitinib (overcome stage 3) [drug],intervention_1047
rapid salivary test [diagnostic test],intervention_1048
inhalable hydroxychloroquine (hcq) [drug],intervention_1049
supportive and symptomatic treatment [drug],intervention_1050
convalescent sars covid-19 plasma [other],intervention_1051
imu-838 [drug],intervention_1052
ramelteon 8mg [drug],intervention_1053
serology test follow-up [other],intervention_1054
mesenchymal cells [biological],intervention_1055
sirolimus 1 mg/ml [drug],intervention_1056
biospecimen collection [other],intervention_1057
fluvoxamine [drug],intervention_1058
tinzaparin or unfractionated heparin [drug],intervention_1059
obvio-19 app [other],intervention_1060
antibody-rich plasma from covid-19 recovered patients [other],intervention_1061
biospecimen collection [procedure],intervention_1062
convalescent covid 19 plasma [biological],intervention_1063
covid-19 breastfeeding support [behavioral],intervention_1064
photobiomodulation and photodynamic therapy [procedure],intervention_1065
suspension or maintenance of angiotensin receptor blockers and angiotensin-converting enzyme inhibitors [other],intervention_1066
dfv890 [drug],intervention_1067
standard of care (soc) [drug],intervention_1068
"hypoxia:14.3 and 12.7% fio2, hypercapnia 7% co2, inspiratory mechanical constraint [other]",intervention_1069
patients with the treatment agains covid19 [drug],intervention_1070
disulfiram [drug],intervention_1071
azithromycin 250 mg [drug],intervention_1072
momentasone furatenasal spray [drug],intervention_1073
nigella sativa [dietary supplement],intervention_1074
biological assays in particular on the lipid metabolism [biological],intervention_1075
airway management during sedation or general anesthesia [procedure],intervention_1076
mechanical trombectomy [other],intervention_1077
immunological profiling [other],intervention_1078
auditory evoked potentials (aep) [procedure],intervention_1079
blink and masseter inhibitory reflex [procedure],intervention_1080
local standard of care [other],intervention_1081
ayurveda [other],intervention_1082
device used to record voice for screening [device],intervention_1083
serological analyses to be lead on a pre-existing biobank [other],intervention_1084
self-management booklet (switch:stay well during covid-19) [behavioral],intervention_1085
continuous positive airway pressure [device],intervention_1086
ace inhibitors and calcium channel blockers [drug],intervention_1087
mhealth assessments [other],intervention_1088
inhaled type i interferon [drug],intervention_1089
wfi water nebulization [drug],intervention_1090
self-administered structured questionnaire [behavioral],intervention_1091
hydroxychloroquine (placebo) [drug],intervention_1092
zinc (placebo) [drug],intervention_1093
bio101 [drug],intervention_1094
therapeutic plasma exchange (tpe) [procedure],intervention_1095
natural honey [dietary supplement],intervention_1096
surgery [procedure],intervention_1097
echocardiography [other],intervention_1098
bovine lipid extract surfactant [drug],intervention_1099
inhaled nitric oxide (ino) [drug],intervention_1100
nitrogen gas [drug],intervention_1101
oxygen gas [drug],intervention_1102
premier biotech covid-19 igg/igm rapid test cassette [device],intervention_1103
maslach burnout inventory (mbi) [behavioral],intervention_1104
optical coherence tomography (oct) [diagnostic test],intervention_1105
fluoxetine [drug],intervention_1106
rtb101 [drug],intervention_1107
hyperbaric oxygen [combination product],intervention_1108
additional blood tubes [other],intervention_1109
control group [other],intervention_1110
sildenafil [drug],intervention_1111
covid-19 swab pcr test [diagnostic test],intervention_1112
daily vitamin d3 [drug],intervention_1113
daily placebo [drug],intervention_1114
bolus vitamin d3 [drug],intervention_1115
bolus placebo [drug],intervention_1116
"nursing care to reduce anxiety, fear and loneliness [other]",intervention_1117
predictors adverse evolution [other],intervention_1118
predictors of health care provide [other],intervention_1119
unikinon (chloroquine phosphate) 200mg tablets [drug],intervention_1120
azithromycin 250 mg oral capsule [drug],intervention_1121
butterfly [diagnostic test],intervention_1122
defibrotide 25 mg/kg 24 hours continuous infusion for 15 days [drug],intervention_1123
placebo 250 cc 24 hours continuous infusion for 15 days [drug],intervention_1124
standard covid-19 therapies [drug],intervention_1125
observational (registry) [combination product],intervention_1126
enoxaparin prophylactic dose [drug],intervention_1127
heparin infusion [drug],intervention_1128
heparin sc [drug],intervention_1129
enoxaparin/lovenox intermediate dose [drug],intervention_1130
intermediate dose thromboprophylaxis [drug],intervention_1131
standard of care thromboprophylaxis [drug],intervention_1132
ravulizumab [biological],intervention_1133
post covid-19 functional satus scale [other],intervention_1134
supportive care [other],intervention_1135
random donor plasma [drug],intervention_1136
gas exchanges at different peep [other],intervention_1137
lung mechanics at different peep [other],intervention_1138
hemodynamics changes at different peep [other],intervention_1139
no intervention / evaluation of the ferritin and glycosylated ferritin by standard approved serological tests [other],intervention_1140
psychiatric counseling [behavioral],intervention_1141
"the demographic, clinical, laboratory, and instrumental data [diagnostic test]",intervention_1142
xc221 [drug],intervention_1143
octagam [drug],intervention_1144
clarithromycin [drug],intervention_1145
quantitative analysis of anti-sars-cov-2-antibodies [diagnostic test],intervention_1146
dipyridamole [drug],intervention_1147
hospital admission [other],intervention_1148
non-hospitalization procedures [other],intervention_1149
infectious disease and cardiology clinical consultations [other],intervention_1150
ecg-holter [other],intervention_1151
transcutaneous auricular vagus nerve stimulation [device],intervention_1152
pathogen-specific aapc [biological],intervention_1153
cri management [device],intervention_1154
t3 solution for injection [drug],intervention_1155
realtime pcr [diagnostic test],intervention_1156
pt-pal [behavioral],intervention_1157
self-guided exercises [behavioral],intervention_1158
a√ßa√≠ palm berry extract - natural product [dietary supplement],intervention_1159
arbox [dietary supplement],intervention_1160
convalescent plasma from recovered covid 19 donor [other],intervention_1161
hydroxychloroquine as post exposure prophylaxis [drug],intervention_1162
others(no intervention) [other],intervention_1163
blood test for sars-cov2 serology [diagnostic test],intervention_1164
nivolumab injection [drug],intervention_1165
washed microbiota transplantation [other],intervention_1166
monitoring for aggravation [other],intervention_1167
evaluate hacor score effectivity in this patients [other],intervention_1168
laboratory analyses [diagnostic test],intervention_1169
physical therapy [procedure],intervention_1170
in-hospital mortality rate [other],intervention_1171
blood group determination [diagnostic test],intervention_1172
antibody titration [diagnostic test],intervention_1173
ck0802 [biological],intervention_1174
dipyridamole er 200mg/ aspirin 25mg orally/enterally and standard of care [drug],intervention_1175
interferon beta 1a [drug],intervention_1176
covid19 [other],intervention_1177
breath test & cheek swab [diagnostic test],intervention_1178
id now vs. accula [diagnostic test],intervention_1179
no intervention planned due to the observational study design only a diagnostic testing [diagnostic test],intervention_1180
iodine complex [drug],intervention_1181
kaplan meier analysis [other],intervention_1182
covid-19 pcr and serology [diagnostic test],intervention_1183
[timp-2]*[igfbp-7] [other],intervention_1184
bacmune (mv130) [biological],intervention_1185
airway pressure release ventilation [other],intervention_1186
manremyc [dietary supplement],intervention_1187
guided online support program [behavioral],intervention_1188
who recommendations (waiting condition) [behavioral],intervention_1189
combined use of a respiratory broad panel multiplex pcr and procalcitonin [procedure],intervention_1190
usual antibiotic treatment [other],intervention_1191
ivermectin (ivm) [drug],intervention_1192
complex diagnostic panel [other],intervention_1193
tranexamic acid [drug],intervention_1194
baricitinib 4 mg oral tablet [drug],intervention_1195
ivermectin 3mg tab [drug],intervention_1196
aerosolized 13 cis retinoic acid [drug],intervention_1197
aerosolized all trans retinoic acid [drug],intervention_1198
"no intervention, observational [other]",intervention_1199
autopsy [procedure],intervention_1200
oxytocin [drug],intervention_1201
xcel-umc-beta [drug],intervention_1202
group1 [other],intervention_1203
indirect calorimetry [diagnostic test],intervention_1204
human biological samples [other],intervention_1205
vascular surgery [procedure],intervention_1206
biological test [biological],intervention_1207
ravulizumab [drug],intervention_1208
sodium chloride 9mg/ml [drug],intervention_1209
gammacore¬æ (vagus nerve stimulation) [device],intervention_1210
autologous adipose msc's [biological],intervention_1211
physical exercises [other],intervention_1212
severe covid-19 pneumonia with et [other],intervention_1213
plasma from a volunteer donor [biological],intervention_1214
home spirometry [diagnostic test],intervention_1215
biosensors [device],intervention_1216
lopinavir 200mg/ritonavir 50mg tab [drug],intervention_1217
injection and infusion of lv-smenp-dc vaccine and antigen-specific ctls [biological],intervention_1218
acacia senegal [dietary supplement],intervention_1219
pectin [dietary supplement],intervention_1220
desferal 500 mg injection [drug],intervention_1221
sampling [diagnostic test],intervention_1222
msc [biological],intervention_1223
biological samples specific to research [procedure],intervention_1224
clinical examination [procedure],intervention_1225
telephone follow-up [procedure],intervention_1226
anakinra +/- ruxolitinib (stages 2b/3) [drug],intervention_1227
anakinra and ruxolitinib (advanced stage 3) [drug],intervention_1228
tocilizumab +/- ruxolitinib (stages 2b/3) [drug],intervention_1229
tocilizumab and ruxolitinib (advanced stage 3) [drug],intervention_1230
tocilizumab 180 mg/ml [drug],intervention_1231
none - observational [other],intervention_1232
test pcr [diagnostic test],intervention_1233
tdr [genetic],intervention_1234
clinical examination [other],intervention_1235
standard procedure [procedure],intervention_1236
bm-allo.msc [biological],intervention_1237
questionnaires on psychological quality of life [other],intervention_1238
hypothermia [device],intervention_1239
neuromuscular blocking agents [drug],intervention_1240
standard of care [device],intervention_1241
psg [other],intervention_1242
amy-101 [drug],intervention_1243
wfi 5% glucose [other],intervention_1244
berberine [drug],intervention_1245
montmorrillonite [drug],intervention_1246
vitamin d [drug],intervention_1247
mvc-cov1901 [biological],intervention_1248
non-invasive cardiac imaging [diagnostic test],intervention_1249
stc-19 score [diagnostic test],intervention_1250
25-oh cholecalciferol [dietary supplement],intervention_1251
pyridostigmine bromide [drug],intervention_1252
"assessing antibody responses, neutralizing capacity and memory b-cell function [diagnostic test]",intervention_1253
prospective oberservational registry [other],intervention_1254
throat swab sample for measuring current infection with sars-cov-2 [diagnostic test],intervention_1255
blood sample for serology to measure past infection with sars-cov-2 [diagnostic test],intervention_1256
hyper immunoglobulins containing anti-corona vs2 immunoglobulin [other],intervention_1257
newborns from covid 19 positive mothers [other],intervention_1258
"predict admission of covid-19 patients to icu and death with routine and quickly avalaible clinical, biological and radiological variables? [other]",intervention_1259
chest x-ray [diagnostic test],intervention_1260
thromboprofylaxis protocol [other],intervention_1261
standard protocol [other],intervention_1262
ivermectin 6 mg oral tablet (2 tablets) [drug],intervention_1263
ino (inhaled nitric oxide) delivered via the inopulse delivery system [drug],intervention_1264
serological screening for igg and igm antibodies against covid-19 [diagnostic test],intervention_1265
covid-19 pcr [diagnostic test],intervention_1266
sodium nitrite [drug],intervention_1267
dexamethasone (high dose) [drug],intervention_1268
brain mri scan [other],intervention_1269
"hydroxychloroquine, azithromycin [drug]",intervention_1270
"hydroxychloroquine, doxycycline [drug]",intervention_1271
"hydroxychloroquine, clindamycin [drug]",intervention_1272
"hydroxychloroquine, clindamycin, primaquine - low dose. [drug]",intervention_1273
"hydroxychloroquine, clindamycin, primaquine - high dose. [drug]",intervention_1274
interferon-alpha2b [drug],intervention_1275
convalescent serum [drug],intervention_1276
"imaging, blood tests [diagnostic test]",intervention_1277
low dose radiotherapy [radiation],intervention_1278
leaf-4l6715 [drug],intervention_1279
leaf-4l7520 [drug],intervention_1280
auricular neuromodulation [procedure],intervention_1281
control [procedure],intervention_1282
blood samples collection [biological],intervention_1283
saliva collection [other],intervention_1284
vv-ecmo [device],intervention_1285
niclosamide oral tablet [drug],intervention_1286
quetionnary [other],intervention_1287
pcr for covid-19 [diagnostic test],intervention_1288
serologic testing [other],intervention_1289
icosapent ethyl (ipe) [drug],intervention_1290
ty027 [biological],intervention_1291
mesenchymal stem cells derived from wharton jelly of umbilical cords [biological],intervention_1292
ivermectin tablets [drug],intervention_1293
enoxaparin prefilled syringe [lovenox] [drug],intervention_1294
phase 1 [radiation],intervention_1295
phase 2 [radiation],intervention_1296
brief psychiatric rating scale [other],intervention_1297
"depression, anxiety and stress scale [other]",intervention_1298
impact of event scale-revised [other],intervention_1299
connor-davidson resilience scale 10 items (cd-risc 10) [other],intervention_1300
lung low dose radiation [radiation],intervention_1301
inopulse [combination product],intervention_1302
placebo [combination product],intervention_1303
biological sample and clinical data collection [other],intervention_1304
hydroxychloroquine sulfate &azithromycin [drug],intervention_1305
blood test [other],intervention_1306
standardised questionnaires [other],intervention_1307
"treatment group:will receive a combination of nitazoxanide, ribavirin and ivermectin for a duration of seven days: [drug]",intervention_1308
lifesignals biosensor 1ax* [device],intervention_1309
artemisinin / artesunate [drug],intervention_1310
covid-19 antibody testing [diagnostic test],intervention_1311
prophylactic/intermediate dose enoxaparin [drug],intervention_1312
lung ultrasound [procedure],intervention_1313
biosensor [diagnostic test],intervention_1314
artemesia annua [dietary supplement],intervention_1315
inhaled iloprost [drug],intervention_1316
sarilumab [biological],intervention_1317
covid-surgres questionaire [behavioral],intervention_1318
vit d [drug],intervention_1319
blood draw [procedure],intervention_1320
clinical assessment [other],intervention_1321
symptoms entered into the covidx application [other],intervention_1322
sampling of tissue [diagnostic test],intervention_1323
nitazoxanide with ivermectin [drug],intervention_1324
ivermectin wth chloroquine [drug],intervention_1325
igm and igg diagnostic kits to sars-cov-2 [diagnostic test],intervention_1326
elisa-test for igm and igg to sars-cov-2 [diagnostic test],intervention_1327
covax-19‚ñ¢ [biological],intervention_1328
rt-pcr sars-cov2 [diagnostic test],intervention_1329
sars-cov2 serology [diagnostic test],intervention_1330
hydroxychloroquine sulfate (hcq) [drug],intervention_1331
extracorporeal membrane oxygenation [device],intervention_1332
cholecalciferol [drug],intervention_1333
equipment with smartwatch throughout hospital stay on the general ward [other],intervention_1334
covid 19 diagnostic test [diagnostic test],intervention_1335
"diagnosis of sars-cov2 by rt-pcr and:igg, ig m serologies in the amniotoc fluid, the blood cord and the placenta [diagnostic test]",intervention_1336
group a:oropharygeal spray and immunostimulant [dietary supplement],intervention_1337
group b:placebo oropharyngeal spray + active principle immunostimulant [dietary supplement],intervention_1338
group c:active principle oropharyngeal spray + placebo taken po [dietary supplement],intervention_1339
group d:placebo oropharyngeal spray + placebo taken po [dietary supplement],intervention_1340
peginterferon lambda alfa-1a subcutaneous injection [drug],intervention_1341
standard of care (soc) and colchicine+rosuvastatin [drug],intervention_1342
clungene rapid test cassette [diagnostic test],intervention_1343
tele-delivered psychological intervention [behavioral],intervention_1344
online support group [behavioral],intervention_1345
conjunctival swab [diagnostic test],intervention_1346
bcg vaccine (freeze-dried) [biological],intervention_1347
standard donor plasma [biological],intervention_1348
avdoralimab [biological],intervention_1349
sars-cov-2 ab [diagnostic test],intervention_1350
clinical interview [other],intervention_1351
blood collection [biological],intervention_1352
rapamycin [drug],intervention_1353
conjunctival rt pcr [diagnostic test],intervention_1354
anakinra plus osoc [drug],intervention_1355
osoc [drug],intervention_1356
js016 (anti-sars-cov-2 monoclonal antibody) [combination product],intervention_1357
convalescent plasma from covid-19 donors [biological],intervention_1358
anti-sars-cov2 serological controls and serum neutralization [diagnostic test],intervention_1359
brii-198 [drug],intervention_1360
brii-196 [drug],intervention_1361
human umbilical cord mesenchymal stem cells + best supportive care [biological],intervention_1362
na (no intervention) [other],intervention_1363
diagnostic test [diagnostic test],intervention_1364
lung ct scan analysis in covid-19 patients [other],intervention_1365
pacritinib [drug],intervention_1366
completion of pre-pandemic survey [other],intervention_1367
completion of survey after peak of pandemic [other],intervention_1368
completion of post telemedicine encounter survey [other],intervention_1369
control [drug],intervention_1370
data collection and rhinopharyngeal swab [diagnostic test],intervention_1371
quadramune(tm) [dietary supplement],intervention_1372
lb1148 [drug],intervention_1373
np-120 (ifenprodil) [drug],intervention_1374
ptc299 [drug],intervention_1375
soc [other],intervention_1376
alveolar recruitment [procedure],intervention_1377
tcc-covid mhealth solution [device],intervention_1378
umbilical cord mesenchymal stem cells + heparin along with best supportive care. [biological],intervention_1379
vehicle + heparin along with best supportive care [other],intervention_1380
0.9% sodium-chloride [drug],intervention_1381
allogeneic nk transfer [biological],intervention_1382
unfractionated heparin iv [drug],intervention_1383
enoxaparin 1 mg/kg [drug],intervention_1384
unfractionated heparin sc [drug],intervention_1385
bld-2660 [drug],intervention_1386
imm-101 [biological],intervention_1387
serological testing [diagnostic test],intervention_1388
hydrogen oxygen generator with nebulizer [device],intervention_1389
standard-of-care [other],intervention_1390
active covid-19 disease [other],intervention_1391
igiv [drug],intervention_1392
rt-pcr and antibody testing [diagnostic test],intervention_1393
gx-19 [drug],intervention_1394
saline [drug],intervention_1395
placebo oral tablet [other],intervention_1396
monitoring visit - baseline [diagnostic test],intervention_1397
monitoring visit - week 4 [diagnostic test],intervention_1398
monitoring visit - week 8 [diagnostic test],intervention_1399
weekly assessment [other],intervention_1400
almitrine [drug],intervention_1401
recombinant bacterial ace2 receptors -like enzyme of b38-cap (rbace2) plus aerosolized 13 cis retinoic acid [combination product],intervention_1402
hyperimmune plasma [biological],intervention_1403
standard of care for sars-cov-2 infection [drug],intervention_1404
systemic indirect endovenous ozone therapy [other],intervention_1405
camostat mesylate [drug],intervention_1406
"microcrystalline cellulose, nf [drug]",intervention_1407
eculizumab [biological],intervention_1408
azithromycin 500 milligram (mg) oral tablet [drug],intervention_1409
no special intervention [other],intervention_1410
"pcr, lung ultrasound [diagnostic test]",intervention_1411
follow-up at 14 days [procedure],intervention_1412
hyperbaric chamber [device],intervention_1413
nasal pharyngeal (np) swab samples [diagnostic test],intervention_1414
peripheral blood draw [diagnostic test],intervention_1415
"electrocardiogram, transthoracic echocardiography and clinico-biological parameters in routine care [diagnostic test]",intervention_1416
sars-cov2 infection [other],intervention_1417
allogeneic and expanded adipose tissue-derived mesenchymal stem cells [drug],intervention_1418
mouthrinse with b√™ta-cyclodextrin and citrox [device],intervention_1419
mouthrinse without b√™ta-cyclodextrin and citrox [device],intervention_1420
treatment with dexmedetomidine [drug],intervention_1421
placebo + placebo [other],intervention_1422
gls-1200 [drug],intervention_1423
biopsies of subcutaneous adipose tissue [procedure],intervention_1424
questionnair about emerging legal and ehical disputes over patient confidentiality [other],intervention_1425
telehealth monitoring [other],intervention_1426
favorable outcome [drug],intervention_1427
anti-sars-cov-2 convalescent plasma [other],intervention_1428
deltarex-g [drug],intervention_1429
blood sampling for biobank [other],intervention_1430
human cord tissue mesenchymal stromal cells [biological],intervention_1431
estradiol patch [drug],intervention_1432
mortality [other],intervention_1433
n-95 respirator [device],intervention_1434
cloth face mask [device],intervention_1435
graded exercise test [diagnostic test],intervention_1436
chloroquine analog (gns651) [drug],intervention_1437
avdoralimab [drug],intervention_1438
monalizumab [drug],intervention_1439
withings scanwatch [device],intervention_1440
questionnaire-based observational study [other],intervention_1441
best standard of care + cardio [dietary supplement],intervention_1442
best standard of care [dietary supplement],intervention_1443
thiazide or thiazide-like diuretics [drug],intervention_1444
calcium channel blockers [drug],intervention_1445
angiotensin receptor blocker [drug],intervention_1446
low-dose chloroquine [drug],intervention_1447
mid-dose chloroquine [drug],intervention_1448
high-dose chloroquine [drug],intervention_1449
abpm [diagnostic test],intervention_1450
fmd [diagnostic test],intervention_1451
pwv [diagnostic test],intervention_1452
rarefaction [diagnostic test],intervention_1453
normal saline 0.9% [other],intervention_1454
quantitative analysis of sars-cov-2 antibodies [diagnostic test],intervention_1455
observational only [other],intervention_1456
antibody test [diagnostic test],intervention_1457
canakinumab injection 600mg [drug],intervention_1458
canakinumab injection 300mg [drug],intervention_1459
blood sample for serological test [diagnostic test],intervention_1460
care modalities [other],intervention_1461
teleconsultation either by phone or by computer consultation [other],intervention_1462
trv027 [biological],intervention_1463
sodium chloride 0.9% [other],intervention_1464
recombinant human plasma gelsolin (rhu-pgsn) [drug],intervention_1465
0.9%nacl [drug],intervention_1466
honey [drug],intervention_1467
sars-cov2 serum antibody testing [diagnostic test],intervention_1468
observational cohort study on the natural history of hospitalized sars-cov-2 patients. [other],intervention_1469
aceis [drug],intervention_1470
conventional treatment [drug],intervention_1471
pro-sero-cov [other],intervention_1472
fsfi survey [behavioral],intervention_1473
ejaculated semen sample [diagnostic test],intervention_1474
quantra system [diagnostic test],intervention_1475
inflammatory cytokines and chemokines profiles of patients with dexmedetomidine administration [other],intervention_1476
carotid artery reactivity testing [diagnostic test],intervention_1477
prasugrel hydrochloride 10 mg oral tablet [drug],intervention_1478
"garadacimab, factor xiia antagonist monoclonal antibody [biological]",intervention_1479
association of diltiazem and niclosamide [drug],intervention_1480
thermography [device],intervention_1481
tympanic temperature [device],intervention_1482
artemic [drug],intervention_1483
"blood tests sputum, nasal lavage and brushing [other]",intervention_1484
